"Time","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-21T22:10:00.000Z",0,90.5,9489769
"2026-05-21T22:15:00.000Z",0,90.57,9496962
"2026-05-21T22:20:00.000Z",0,90.8,9521643
"2026-05-21T22:25:00.000Z",0,91.77,9622669
"2026-05-21T22:30:00.000Z",0,92.46,9695288
"2026-05-21T22:35:00.000Z",0,92.39,9687192
"2026-05-21T22:40:00.000Z",0,91.77,9623008
"2026-05-21T22:45:00.000Z",0,92.24,9672039
"2026-05-21T22:50:00.000Z",0,92.57,9707080
"2026-05-21T22:55:00.000Z",0,92.89,9740084
"2026-05-21T23:00:00.000Z",0,92.73,9723942
"2026-05-21T23:05:00.000Z",0,92.71,9721548
"2026-05-21T23:10:00.000Z",0,92.7,9720651
"2026-05-21T23:15:00.000Z",0,92.68,9718361
"2026-05-21T23:20:00.000Z",0,92.72,9722291
"2026-05-21T23:25:00.000Z",0,92.66,9716132
"2026-05-21T23:30:00.000Z",0,92.67,9717247
"2026-05-21T23:35:00.000Z",0,92.33,9681876
"2026-05-21T23:40:00.000Z",0,91.56,9600292
"2026-05-21T23:45:00.000Z",0,91.63,9608426
"2026-05-21T23:50:00.000Z",0,91.95,9641255
"2026-05-21T23:55:00.000Z",0,91.68,9613270
"2026-05-22T00:00:00.000Z",0,92.19,9667098
"2026-05-22T00:05:00.000Z",0,92.57,9706640
"2026-05-22T00:10:00.000Z",0,92.72,9722114
"2026-05-22T00:15:00.000Z",0,92.76,9726486
"2026-05-22T00:20:00.000Z",0,92.8,9730496
"2026-05-22T00:25:00.000Z",0,92.66,9716268
"2026-05-22T00:30:00.000Z",0,92.72,9722984
"2026-05-22T00:35:00.000Z",0,92.68,9718659
"2026-05-22T00:40:00.000Z",0,92.14,9661851
"2026-05-22T00:45:00.000Z",0,92.34,9682477
"2026-05-22T00:50:00.000Z",0,92.29,9677139
"2026-05-22T00:55:00.000Z",0,91.99,9646110
"2026-05-22T01:00:00.000Z",0,91.87,9632804
"2026-05-22T01:05:00.000Z",0,92.54,9703041
"2026-05-22T01:10:00.000Z",0,92.71,9721347
"2026-05-22T01:15:00.000Z",0,92.67,9716581
"2026-05-22T01:20:00.000Z",0,92.64,9713956
"2026-05-22T01:25:00.000Z",0,92.55,9704501
"2026-05-22T01:30:00.000Z",0,92.61,9710723
"2026-05-22T01:35:00.000Z",0,92.36,9684641
"2026-05-22T01:40:00.000Z",0,91.67,9612545
"2026-05-22T01:45:00.000Z",0,91.64,9609481
"2026-05-22T01:50:00.000Z",0,91.37,9580482
"2026-05-22T01:55:00.000Z",0,91.04,9546573
"2026-05-22T02:00:00.000Z",0,90.81,9522078
"2026-05-22T02:05:00.000Z",0,91.32,9575946
"2026-05-22T02:10:00.000Z",0,91.84,9629896
"2026-05-22T02:15:00.000Z",0,92.47,9696566
"2026-05-22T02:20:00.000Z",0,92.53,9702876
"2026-05-22T02:25:00.000Z",0,92.24,9672169
"2026-05-22T02:30:00.000Z",0,92.15,9662944
"2026-05-22T02:35:00.000Z",0,92.23,9671329
"2026-05-22T02:40:00.000Z",0,91.62,9607253
"2026-05-22T02:45:00.000Z",0,91.76,9622283
"2026-05-22T02:50:00.000Z",0,90.87,9528065
"2026-05-22T02:55:00.000Z",0,90.83,9524252
"2026-05-22T03:00:00.000Z",0,91.5,9594537
"2026-05-22T03:05:00.000Z",0,92.12,9659561
"2026-05-22T03:10:00.000Z",0,92.46,9695547
"2026-05-22T03:15:00.000Z",0,92.47,9696211
"2026-05-22T03:20:00.000Z",0,92.67,9717636
"2026-05-22T03:25:00.000Z",0,92.58,9707838
"2026-05-22T03:30:00.000Z",0,92.61,9710764
"2026-05-22T03:35:00.000Z",0,92.68,9718453
"2026-05-22T03:40:00.000Z",0,91.77,9622737
"2026-05-22T03:45:00.000Z",0,92.32,9680629
"2026-05-22T03:50:00.000Z",0,91.92,9638857
"2026-05-22T03:55:00.000Z",0,90.94,9536255
"2026-05-22T04:00:00.000Z",0,90.73,9513192
"2026-05-22T04:05:00.000Z",0,91.5,9594806
"2026-05-22T04:10:00.000Z",0,91.96,9643129
"2026-05-22T04:15:00.000Z",0,92.26,9673833
"2026-05-22T04:20:00.000Z",0,92.3,9678037
"2026-05-22T04:25:00.000Z",0,92.63,9712740
"2026-05-22T04:30:00.000Z",0,91.92,9638285
"2026-05-22T04:35:00.000Z",0,91.65,9609869
"2026-05-22T04:40:00.000Z",0,90.97,9539255
"2026-05-22T04:45:00.000Z",0,90.13,9450928
"2026-05-22T04:50:00.000Z",0,90.55,9495200
"2026-05-22T04:55:00.000Z",0,90.92,9534250
"2026-05-22T05:00:00.000Z",0,91.17,9560369
"2026-05-22T05:05:00.000Z",0,91.58,9603081
"2026-05-22T05:10:00.000Z",0,91.89,9635593
"2026-05-22T05:15:00.000Z",0,92.19,9666553
"2026-05-22T05:20:00.000Z",0,92.24,9672295
"2026-05-22T05:25:00.000Z",0,92.55,9704441
"2026-05-22T05:30:00.000Z",0,92.54,9703041
"2026-05-22T05:35:00.000Z",0,92.56,9705412
"2026-05-22T05:40:00.000Z",0,91.82,9628210
"2026-05-22T05:45:00.000Z",0,91.88,9634161
"2026-05-22T05:50:00.000Z",0,91.88,9634800
"2026-05-22T05:55:00.000Z",0,91.92,9638703
"2026-05-22T06:00:00.000Z",0,92.06,9653457
"2026-05-22T06:05:00.000Z",0,92.35,9683062
"2026-05-22T06:10:00.000Z",0,92.44,9692846
"2026-05-22T06:15:00.000Z",0,92.31,9679064
"2026-05-22T06:20:00.000Z",0,92.22,9670253
"2026-05-22T06:25:00.000Z",0,92.49,9698054
"2026-05-22T06:30:00.000Z",0,92.36,9684473
"2026-05-22T06:35:00.000Z",0,91.75,9620530
"2026-05-22T06:40:00.000Z",0,90.74,9515256
"2026-05-22T06:45:00.000Z",0,90.52,9491647
"2026-05-22T06:50:00.000Z",0,90.49,9488571
"2026-05-22T06:55:00.000Z",0,90.25,9463553
"2026-05-22T07:00:00.000Z",0,90.61,9501036
"2026-05-22T07:05:00.000Z",0,90.84,9525609
"2026-05-22T07:10:00.000Z",0,91.65,9610745
"2026-05-22T07:15:00.000Z",0,92.97,9748716
"2026-05-22T07:20:00.000Z",0,93.49,9803650
"2026-05-22T07:25:00.000Z",0,93.04,9756145
"2026-05-22T07:30:00.000Z",0,92.93,9744162
"2026-05-22T07:35:00.000Z",0,92.77,9727373
"2026-05-22T07:40:00.000Z",0,91.48,9593053
"2026-05-22T07:45:00.000Z",0,91.24,9567522
"2026-05-22T07:50:00.000Z",0,91.78,9624258
"2026-05-22T07:55:00.000Z",0,91.9,9636873
"2026-05-22T08:00:00.000Z",0,92.36,9685191
"2026-05-22T08:05:00.000Z",0,93.08,9759884
"2026-05-22T08:10:00.000Z",0,93.36,9789612
"2026-05-22T08:15:00.000Z",0,93.29,9781739
"2026-05-22T08:20:00.000Z",0,92.9,9741732
"2026-05-22T08:25:00.000Z",0,93.17,9769443
"2026-05-22T08:30:00.000Z",0,92.82,9733374
"2026-05-22T08:35:00.000Z",0,92.78,9728607
"2026-05-22T08:40:00.000Z",0,91.97,9643342
"2026-05-22T08:45:00.000Z",0,91.75,9620306
"2026-05-22T08:50:00.000Z",0,91.4,9584593
"2026-05-22T08:55:00.000Z",0,91.29,9572065
"2026-05-22T09:00:00.000Z",0,91.25,9568157
"2026-05-22T09:05:00.000Z",0,91.63,9608511
"2026-05-22T09:10:00.000Z",0,92.21,9668767
"2026-05-22T09:15:00.000Z",0,92.57,9706553
"2026-05-22T09:20:00.000Z",0,92.68,9718428
"2026-05-22T09:25:00.000Z",0,92.68,9717818
"2026-05-22T09:30:00.000Z",0,92.71,9721507
"2026-05-22T09:35:00.000Z",0,92.47,9696209
"2026-05-22T09:40:00.000Z",0,92.14,9661333
"2026-05-22T09:45:00.000Z",0,92.15,9662535
"2026-05-22T09:50:00.000Z",0,92.02,9648889
"2026-05-22T09:55:00.000Z",0,92.02,9649497
"2026-05-22T10:00:00.000Z",0,92.07,9654404
