"Time","Usage for esxilocal.hbmsolutions.mt"
"2026-05-22T17:15:00.000Z",15.59
"2026-05-22T17:20:00.000Z",15.19
"2026-05-22T17:25:00.000Z",13.84
"2026-05-22T17:30:00.000Z",13.49
"2026-05-22T17:35:00.000Z",14.52
"2026-05-22T17:40:00.000Z",13.53
"2026-05-22T17:45:00.000Z",13.3
"2026-05-22T17:50:00.000Z",13.6
"2026-05-22T17:55:00.000Z",12.96
"2026-05-22T18:00:00.000Z",13.87
"2026-05-22T18:05:00.000Z",15.23
"2026-05-22T18:10:00.000Z",14
"2026-05-22T18:15:00.000Z",13.71
"2026-05-22T18:20:00.000Z",15.04
"2026-05-22T18:25:00.000Z",23.09
"2026-05-22T18:30:00.000Z",19.39
"2026-05-22T18:35:00.000Z",26.32
"2026-05-22T18:40:00.000Z",11.41
"2026-05-22T18:45:00.000Z",11.84
"2026-05-22T18:50:00.000Z",11.35
"2026-05-22T18:55:00.000Z",11.07
"2026-05-22T19:00:00.000Z",21.71
"2026-05-22T19:05:00.000Z",15.57
"2026-05-22T19:10:00.000Z",13.1
"2026-05-22T19:15:00.000Z",13.25
"2026-05-22T19:20:00.000Z",13.77
"2026-05-22T19:25:00.000Z",11.57
"2026-05-22T19:30:00.000Z",11.93
"2026-05-22T19:35:00.000Z",11.48
"2026-05-22T19:40:00.000Z",10.88
"2026-05-22T19:45:00.000Z",12.25
"2026-05-22T19:50:00.000Z",11.13
"2026-05-22T19:55:00.000Z",11.07
"2026-05-22T20:00:00.000Z",11.28
"2026-05-22T20:05:00.000Z",13.34
"2026-05-22T20:10:00.000Z",12.59
"2026-05-22T20:15:00.000Z",12.33
"2026-05-22T20:20:00.000Z",11.77
"2026-05-22T20:25:00.000Z",11.25
"2026-05-22T20:30:00.000Z",11.66
"2026-05-22T20:35:00.000Z",20.35
"2026-05-22T20:40:00.000Z",25.76
"2026-05-22T20:45:00.000Z",19.81
"2026-05-22T20:50:00.000Z",20.21
"2026-05-22T20:55:00.000Z",21.4
"2026-05-22T21:00:00.000Z",18.94
"2026-05-22T21:05:00.000Z",21.66
"2026-05-22T21:10:00.000Z",23.29
"2026-05-22T21:15:00.000Z",21.31
"2026-05-22T21:20:00.000Z",22.94
"2026-05-22T21:25:00.000Z",20.56
"2026-05-22T21:30:00.000Z",21.45
"2026-05-22T21:35:00.000Z",20.08
"2026-05-22T21:40:00.000Z",19.34
"2026-05-22T21:45:00.000Z",22.81
"2026-05-22T21:50:00.000Z",22.84
"2026-05-22T21:55:00.000Z",22.14
"2026-05-22T22:00:00.000Z",24.51
"2026-05-22T22:05:00.000Z",24.23
"2026-05-22T22:10:00.000Z",22.88
"2026-05-22T22:15:00.000Z",19.34
"2026-05-22T22:20:00.000Z",17.42
"2026-05-22T22:25:00.000Z",17.12
"2026-05-22T22:30:00.000Z",18.52
"2026-05-22T22:35:00.000Z",18.62
"2026-05-22T22:40:00.000Z",16.58
"2026-05-22T22:45:00.000Z",20.63
"2026-05-22T22:50:00.000Z",16.24
"2026-05-22T22:55:00.000Z",16
"2026-05-22T23:00:00.000Z",17.65
"2026-05-22T23:05:00.000Z",16.71
"2026-05-22T23:10:00.000Z",17.68
"2026-05-22T23:15:00.000Z",18.93
"2026-05-22T23:20:00.000Z",15.88
"2026-05-22T23:25:00.000Z",16.44
"2026-05-22T23:30:00.000Z",16.68
"2026-05-22T23:35:00.000Z",16.49
"2026-05-22T23:40:00.000Z",16.01
"2026-05-22T23:45:00.000Z",15.33
"2026-05-22T23:50:00.000Z",16.62
"2026-05-22T23:55:00.000Z",15.71
"2026-05-23T00:00:00.000Z",16.33
"2026-05-23T00:05:00.000Z",17.8
"2026-05-23T00:10:00.000Z",19.36
"2026-05-23T00:15:00.000Z",18.4
"2026-05-23T00:20:00.000Z",17.05
"2026-05-23T00:25:00.000Z",17.34
"2026-05-23T00:30:00.000Z",26.86
"2026-05-23T00:35:00.000Z",19.13
"2026-05-23T00:40:00.000Z",19.51
"2026-05-23T00:45:00.000Z",17.46
"2026-05-23T00:50:00.000Z",15.59
"2026-05-23T00:55:00.000Z",16.57
"2026-05-23T01:00:00.000Z",17.38
"2026-05-23T01:05:00.000Z",16.94
"2026-05-23T01:10:00.000Z",17.61
"2026-05-23T01:15:00.000Z",17.93
"2026-05-23T01:20:00.000Z",17.02
"2026-05-23T01:25:00.000Z",15.5
"2026-05-23T01:30:00.000Z",18.03
"2026-05-23T01:35:00.000Z",16.16
"2026-05-23T01:40:00.000Z",15.74
"2026-05-23T01:45:00.000Z",16.43
"2026-05-23T01:50:00.000Z",15.44
"2026-05-23T01:55:00.000Z",15.73
"2026-05-23T02:00:00.000Z",17.02
"2026-05-23T02:05:00.000Z",17.84
"2026-05-23T02:10:00.000Z",18.37
"2026-05-23T02:15:00.000Z",17.64
"2026-05-23T02:20:00.000Z",16.15
"2026-05-23T02:25:00.000Z",16.36
"2026-05-23T02:30:00.000Z",19.35
"2026-05-23T02:35:00.000Z",16.53
"2026-05-23T02:40:00.000Z",16.64
"2026-05-23T02:45:00.000Z",16.62
"2026-05-23T02:50:00.000Z",17.05
"2026-05-23T02:55:00.000Z",16.32
"2026-05-23T03:00:00.000Z",15.99
"2026-05-23T03:05:00.000Z",17.77
"2026-05-23T03:10:00.000Z",19.34
"2026-05-23T03:15:00.000Z",18.56
"2026-05-23T03:20:00.000Z",20.05
"2026-05-23T03:25:00.000Z",15.89
"2026-05-23T03:30:00.000Z",17.3
"2026-05-23T03:35:00.000Z",16.32
"2026-05-23T03:40:00.000Z",18
"2026-05-23T03:45:00.000Z",17.28
"2026-05-23T03:50:00.000Z",16.54
"2026-05-23T03:55:00.000Z",16.78
"2026-05-23T04:00:00.000Z",16.14
"2026-05-23T04:05:00.000Z",17.15
"2026-05-23T04:10:00.000Z",18.81
"2026-05-23T04:15:00.000Z",19.07
"2026-05-23T04:20:00.000Z",17.72
"2026-05-23T04:25:00.000Z",16.33
"2026-05-23T04:30:00.000Z",16.36
"2026-05-23T04:35:00.000Z",16.51
"2026-05-23T04:40:00.000Z",16.14
"2026-05-23T04:45:00.000Z",16.72
"2026-05-23T04:50:00.000Z",17.22
"2026-05-23T04:55:00.000Z",17.56
"2026-05-23T05:00:00.000Z",16.38
"2026-05-23T05:05:00.000Z",17.42
"2026-05-23T05:10:00.000Z",17.93
"2026-05-23T05:15:00.000Z",18.53
"2026-05-23T05:20:00.000Z",16.88
"2026-05-23T05:25:00.000Z",16.58
"2026-05-23T05:30:00.000Z",16.97
"2026-05-23T05:35:00.000Z",16.36
"2026-05-23T05:40:00.000Z",16.34
"2026-05-23T05:45:00.000Z",15.66
"2026-05-23T05:50:00.000Z",16.88
"2026-05-23T05:55:00.000Z",15.51
"2026-05-23T06:00:00.000Z",15.6
"2026-05-23T06:05:00.000Z",16.16
"2026-05-23T06:10:00.000Z",18.17
"2026-05-23T06:15:00.000Z",16.36
"2026-05-23T06:20:00.000Z",16.23
"2026-05-23T06:25:00.000Z",16.52
"2026-05-23T06:30:00.000Z",19.4
"2026-05-23T06:35:00.000Z",17.54
"2026-05-23T06:40:00.000Z",16.09
"2026-05-23T06:45:00.000Z",14.8
"2026-05-23T06:50:00.000Z",15.93
"2026-05-23T06:55:00.000Z",16.08
"2026-05-23T07:00:00.000Z",16.43
"2026-05-23T07:05:00.000Z",16.6
"2026-05-23T07:10:00.000Z",17.98
"2026-05-23T07:15:00.000Z",17.51
"2026-05-23T07:20:00.000Z",16.76
"2026-05-23T07:25:00.000Z",15.81
"2026-05-23T07:30:00.000Z",16.58
"2026-05-23T07:35:00.000Z",16.59
"2026-05-23T07:40:00.000Z",16.04
"2026-05-23T07:45:00.000Z",16.26
"2026-05-23T07:50:00.000Z",15.15
"2026-05-23T07:55:00.000Z",16.59
"2026-05-23T08:00:00.000Z",19.4
"2026-05-23T08:05:00.000Z",18.47
"2026-05-23T08:10:00.000Z",19.7
"2026-05-23T08:15:00.000Z",18.25
"2026-05-23T08:20:00.000Z",18.75
"2026-05-23T08:25:00.000Z",18.21
"2026-05-23T08:30:00.000Z",18.74
"2026-05-23T08:35:00.000Z",18.81
"2026-05-23T08:40:00.000Z",18.18
"2026-05-23T08:45:00.000Z",17.38
"2026-05-23T08:50:00.000Z",18.13
"2026-05-23T08:55:00.000Z",16.49
"2026-05-23T09:00:00.000Z",17.13
"2026-05-23T09:05:00.000Z",16.5
"2026-05-23T09:10:00.000Z",17.68
"2026-05-23T09:15:00.000Z",18.81
"2026-05-23T09:20:00.000Z",19.29
"2026-05-23T09:25:00.000Z",25.41
"2026-05-23T09:30:00.000Z",21.4
"2026-05-23T09:35:00.000Z",19.04
"2026-05-23T09:40:00.000Z",24.25
"2026-05-23T09:45:00.000Z",21.43
"2026-05-23T09:50:00.000Z",19.24
"2026-05-23T09:55:00.000Z",20.42
"2026-05-23T10:00:00.000Z",19.74
"2026-05-23T10:05:00.000Z",22.38
"2026-05-23T10:10:00.000Z",22.5
"2026-05-23T10:15:00.000Z",20.65
"2026-05-23T10:20:00.000Z",21.11
"2026-05-23T10:25:00.000Z",20.72
"2026-05-23T10:30:00.000Z",23.27
"2026-05-23T10:35:00.000Z",20.03
"2026-05-23T10:40:00.000Z",20.94
"2026-05-23T10:45:00.000Z",19.42
"2026-05-23T10:50:00.000Z",20.11
"2026-05-23T10:55:00.000Z",19.99
"2026-05-23T11:00:00.000Z",21.96
"2026-05-23T11:05:00.000Z",21.58
"2026-05-23T11:10:00.000Z",23.81
"2026-05-23T11:15:00.000Z",22.36
"2026-05-23T11:20:00.000Z",19.79
"2026-05-23T11:25:00.000Z",20.93
"2026-05-23T11:30:00.000Z",20.65
"2026-05-23T11:35:00.000Z",21.14
"2026-05-23T11:40:00.000Z",20.75
"2026-05-23T11:45:00.000Z",22.59
"2026-05-23T11:50:00.000Z",21.57
"2026-05-23T11:55:00.000Z",18.99
"2026-05-23T12:00:00.000Z",19.48
"2026-05-23T12:05:00.000Z",20.94
"2026-05-23T12:10:00.000Z",24.6
"2026-05-23T12:15:00.000Z",20.78
"2026-05-23T12:20:00.000Z",21.07
"2026-05-23T12:25:00.000Z",20
"2026-05-23T12:30:00.000Z",20.03
"2026-05-23T12:35:00.000Z",18.75
"2026-05-23T12:40:00.000Z",17.69
"2026-05-23T12:45:00.000Z",24.23
"2026-05-23T12:50:00.000Z",18.92
"2026-05-23T12:55:00.000Z",21.85
"2026-05-23T13:00:00.000Z",26.62
"2026-05-23T13:05:00.000Z",26.7
"2026-05-23T13:10:00.000Z",20.63
"2026-05-23T13:15:00.000Z",17.84
