"Time","Usage for esxilocal.hbmsolutions.mt"
"2026-05-20T17:35:20.000Z",14.79
"2026-05-20T17:35:40.000Z",11.51
"2026-05-20T17:36:00.000Z",13.6
"2026-05-20T17:36:20.000Z",15.28
"2026-05-20T17:36:40.000Z",12.26
"2026-05-20T17:37:00.000Z",13.69
"2026-05-20T17:37:20.000Z",14.35
"2026-05-20T17:37:40.000Z",12.7
"2026-05-20T17:38:00.000Z",15.47
"2026-05-20T17:38:20.000Z",14.01
"2026-05-20T17:38:40.000Z",15.9
"2026-05-20T17:39:00.000Z",14.13
"2026-05-20T17:39:20.000Z",18.05
"2026-05-20T17:39:40.000Z",10.95
"2026-05-20T17:40:00.000Z",11.62
"2026-05-20T17:40:20.000Z",13.78
"2026-05-20T17:40:40.000Z",14.56
"2026-05-20T17:41:00.000Z",13.86
"2026-05-20T17:41:20.000Z",16.54
"2026-05-20T17:41:40.000Z",11.23
"2026-05-20T17:42:00.000Z",13.65
"2026-05-20T17:42:20.000Z",10.76
"2026-05-20T17:42:40.000Z",17.62
"2026-05-20T17:43:00.000Z",14.28
"2026-05-20T17:43:20.000Z",11.78
"2026-05-20T17:43:40.000Z",14.55
"2026-05-20T17:44:00.000Z",11.29
"2026-05-20T17:44:20.000Z",14.57
"2026-05-20T17:44:40.000Z",13.63
"2026-05-20T17:45:00.000Z",20.82
"2026-05-20T17:45:20.000Z",21.23
"2026-05-20T17:45:40.000Z",32.16
"2026-05-20T17:46:00.000Z",31.48
"2026-05-20T17:46:20.000Z",47.77
"2026-05-20T17:46:40.000Z",20.2
"2026-05-20T17:47:00.000Z",14.09
