"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-24T13:39:40.000Z",14.16,19.75,13.69,16.01,7.17,2662
"2026-05-24T13:40:00.000Z",13.43,18.54,7.7,18.7,8.77,2525
"2026-05-24T13:40:20.000Z",16.26,17.05,16.46,21.23,10.3,3057
"2026-05-24T13:40:40.000Z",20.02,21.85,10.36,18.95,28.92,3764
"2026-05-24T13:41:00.000Z",16.58,21.11,9.62,15.82,19.76,3117
"2026-05-24T13:41:20.000Z",16.5,20.61,7.96,17.84,19.59,3103
"2026-05-24T13:41:40.000Z",14.31,18.38,10.61,20.3,7.97,2691
"2026-05-24T13:42:00.000Z",18.78,18.11,6.42,17.13,33.47,3531
"2026-05-24T13:42:20.000Z",15.38,21.67,18.26,17.38,4.22,2892
"2026-05-24T13:42:40.000Z",17.28,18.44,4.94,14.57,31.18,3250
"2026-05-24T13:43:00.000Z",15.11,20.84,17.39,18.28,3.92,2840
"2026-05-24T13:43:20.000Z",15.72,17.01,20.32,19.79,5.78,2957
"2026-05-24T13:43:40.000Z",16.04,21.39,6.55,12.61,23.6,3016
"2026-05-24T13:44:00.000Z",19,8.14,18.3,18.89,30.67,3573
"2026-05-24T13:44:20.000Z",16.94,10.11,22.02,17.98,17.64,3185
"2026-05-24T13:44:40.000Z",12.91,7.59,19.38,8.04,16.65,2428
"2026-05-24T13:45:00.000Z",15.28,17.28,17.93,7.7,18.22,2874
"2026-05-24T13:45:20.000Z",14.08,8.01,16.94,10.1,21.25,2647
"2026-05-24T13:45:40.000Z",16.64,22.08,16.69,10.18,17.61,3128
"2026-05-24T13:46:00.000Z",17.43,12.43,18.29,20.98,18.02,3277
"2026-05-24T13:46:20.000Z",16.56,21.22,20.06,4.49,20.46,3113
"2026-05-24T13:46:40.000Z",16.47,25.11,17.43,5.44,17.91,3098
"2026-05-24T13:47:00.000Z",16.67,18.74,22.89,4.97,20.07,3134
"2026-05-24T13:47:20.000Z",17.22,10.91,17.45,19.83,20.71,3239
"2026-05-24T13:47:40.000Z",16.4,11.42,18.55,14.88,20.76,3084
"2026-05-24T13:48:00.000Z",18.74,25.56,19.31,11.22,18.86,3523
"2026-05-24T13:48:20.000Z",15.87,19.17,8.11,18.85,17.35,2984
"2026-05-24T13:48:40.000Z",17.25,20.36,14.9,16.87,16.88,3244
"2026-05-24T13:49:00.000Z",17.07,21.5,9.65,19.09,18.02,3209
"2026-05-24T13:49:20.000Z",14.17,21.53,7.92,15.29,11.94,2665
"2026-05-24T13:49:40.000Z",17.1,15.71,25.97,19.81,6.92,3215
"2026-05-24T13:50:00.000Z",18.64,18.36,24.57,20.02,11.61,3505
"2026-05-24T13:50:20.000Z",15.43,18.63,11.62,21.31,10.15,2901
"2026-05-24T13:50:40.000Z",14.11,19.3,15.21,18.04,3.9,2654
"2026-05-24T13:51:00.000Z",15.97,17.54,20.84,19.93,5.57,3002
"2026-05-24T13:51:20.000Z",19.21,20.33,32.84,18.02,5.66,3612
"2026-05-24T13:51:40.000Z",14,19.6,11.8,15.52,9.08,2633
"2026-05-24T13:52:00.000Z",17.27,22.84,8.22,16.23,21.78,3247
"2026-05-24T13:52:20.000Z",18.22,19.61,30.81,18.09,4.37,3426
"2026-05-24T13:52:40.000Z",19.24,19.69,34.31,19.55,3.4,3617
"2026-05-24T13:53:00.000Z",15.93,19.08,17.2,20.07,7.34,2995
"2026-05-24T13:53:20.000Z",17.9,17.35,17.02,19.69,17.55,3366
"2026-05-24T13:53:40.000Z",16.13,19.51,22.11,15.79,7.1,3032
"2026-05-24T13:54:00.000Z",13.12,18.7,9.95,15.01,8.82,2467
"2026-05-24T13:54:20.000Z",18.47,32.01,19.15,4.19,18.52,3472
"2026-05-24T13:54:40.000Z",16,10.94,23.87,5,24.19,3009
"2026-05-24T13:55:00.000Z",16.62,12.64,19.56,14.83,19.46,3126
"2026-05-24T13:55:20.000Z",15.22,12.37,20.26,9.65,18.59,2861
"2026-05-24T13:55:40.000Z",13.38,10.63,19.44,6.21,17.21,2515
"2026-05-24T13:56:00.000Z",13.45,8.62,19.85,6.98,18.36,2529
"2026-05-24T13:56:20.000Z",16.01,8.96,31.37,3.97,19.76,3011
"2026-05-24T13:56:40.000Z",13.37,4.05,17.67,13.98,17.78,2514
"2026-05-24T13:57:00.000Z",14.21,6.05,19.11,10.65,21.04,2672
"2026-05-24T13:57:20.000Z",22.36,25.1,21.69,23.54,19.11,4205
"2026-05-24T13:57:40.000Z",16.58,12.01,20.22,12.37,21.74,3118
"2026-05-24T13:58:00.000Z",17.18,18.08,15.45,11.58,23.63,3231
"2026-05-24T13:58:20.000Z",16.4,5.9,17.4,18.15,24.15,3083
"2026-05-24T13:58:40.000Z",20.43,16.65,27.85,7.27,29.95,3841
"2026-05-24T13:59:00.000Z",16.67,10.6,24.76,9.7,21.62,3134
"2026-05-24T13:59:20.000Z",17.39,15.6,21.24,8.78,23.94,3270
"2026-05-24T13:59:40.000Z",18.32,7.56,22.64,20.02,23.06,3444
"2026-05-24T14:00:00.000Z",26.74,25.46,21.28,24.35,35.89,5029
"2026-05-24T14:00:20.000Z",28.05,24.3,29.39,23.38,35.12,5273
"2026-05-24T14:00:40.000Z",39.53,24.92,53.99,41.27,37.93,7431
"2026-05-24T14:01:00.000Z",23.36,22.08,21.15,25,25.23,4393
"2026-05-24T14:01:20.000Z",23.72,22.79,32.49,25.71,13.9,4461
"2026-05-24T14:01:40.000Z",38.35,39.5,45.6,19,49.31,7211
"2026-05-24T14:02:00.000Z",16.21,25.47,6.87,24.66,7.84,3048
"2026-05-24T14:02:20.000Z",15.05,20.07,12.94,17.97,9.21,2830
"2026-05-24T14:02:40.000Z",22.6,27.73,25.98,15.55,21.13,4249
"2026-05-24T14:03:00.000Z",17.1,20.39,18.33,10.81,18.89,3216
"2026-05-24T14:03:20.000Z",16.84,17.19,19.33,11.01,19.81,3165
"2026-05-24T14:03:40.000Z",15.33,8,20.09,14.59,18.65,2883
"2026-05-24T14:04:00.000Z",17.88,23.86,17.01,13.48,17.17,3362
"2026-05-24T14:04:20.000Z",14.94,10.18,14.99,17.68,16.91,2809
"2026-05-24T14:04:40.000Z",19.61,9.01,18.49,34.17,16.78,3688
"2026-05-24T14:05:00.000Z",16.03,10.34,18.47,15.54,19.75,3013
"2026-05-24T14:05:20.000Z",16.46,12.83,18.73,14.42,19.86,3095
"2026-05-24T14:05:40.000Z",16.43,18.88,17.22,10.04,19.57,3089
"2026-05-24T14:06:00.000Z",14.88,7.04,18.45,14.16,19.89,2798
"2026-05-24T14:06:20.000Z",20.36,14.47,21.35,22.82,22.78,3827
"2026-05-24T14:06:40.000Z",18.47,11.01,21.83,19.39,21.66,3473
"2026-05-24T14:07:00.000Z",20.86,14.01,24.98,19.98,24.47,3922
"2026-05-24T14:07:20.000Z",21.99,24.59,20.93,21.08,21.37,4135
"2026-05-24T14:07:40.000Z",19.32,13.66,26.28,12.39,24.94,3632
"2026-05-24T14:08:00.000Z",28.23,24.64,18.6,31.99,37.71,5308
"2026-05-24T14:08:20.000Z",19.31,22.44,22.06,21.51,11.25,3632
"2026-05-24T14:08:40.000Z",18.64,15.65,29.02,10.18,19.71,3505
"2026-05-24T14:09:00.000Z",18.54,10.73,18.64,24.22,20.57,3486
"2026-05-24T14:09:20.000Z",21.9,20.97,24.61,16.33,25.68,4117
"2026-05-24T14:09:40.000Z",20.53,34.54,17.29,9.06,21.26,3861
"2026-05-24T14:10:00.000Z",15.88,9.82,22.25,10.02,21.42,2985
"2026-05-24T14:10:20.000Z",24.34,22.73,25.93,25.54,23.18,4577
"2026-05-24T14:10:40.000Z",16.1,8.3,22.16,11.05,22.9,3027
"2026-05-24T14:11:00.000Z",21.69,16.47,21.62,20.55,28.11,4078
"2026-05-24T14:11:20.000Z",20.5,11.42,21.26,28.7,20.62,3854
"2026-05-24T14:11:40.000Z",19.1,16.71,20.5,21.17,18.02,3591
"2026-05-24T14:12:00.000Z",25.6,29.48,20.2,28.87,23.83,4813
"2026-05-24T14:12:20.000Z",15.37,21.69,10.94,21.63,7.24,2891
"2026-05-24T14:12:40.000Z",16.59,19.5,20.62,15.53,10.71,3120
"2026-05-24T14:13:00.000Z",17.9,21.46,24.35,17.79,8,3365
"2026-05-24T14:13:20.000Z",16.26,17.97,11.34,21.36,14.39,3058
"2026-05-24T14:13:40.000Z",21.32,20.72,31.56,18.72,14.29,4009
"2026-05-24T14:14:00.000Z",15.53,22.73,8.28,20.35,10.75,2919
"2026-05-24T14:14:20.000Z",21.5,26.53,13.18,24.17,22.12,4043
"2026-05-24T14:14:40.000Z",17.83,20.04,13.57,19.37,18.32,3352
"2026-05-24T14:15:00.000Z",15.65,21.47,9.21,19.86,12.07,2943
"2026-05-24T14:15:20.000Z",19.07,19.4,14.98,20.31,21.58,3586
"2026-05-24T14:15:40.000Z",17.35,21.76,7.02,19.57,21.04,3262
"2026-05-24T14:16:00.000Z",18.8,18.11,20.4,21.18,15.52,3535
"2026-05-24T14:16:20.000Z",18.08,22.2,17.84,25.54,6.73,3399
"2026-05-24T14:16:40.000Z",19.78,22.07,12.03,23.68,21.35,3719
"2026-05-24T14:17:00.000Z",21.31,29.5,12.79,29.55,13.38,4006
"2026-05-24T14:17:20.000Z",18.69,24.44,14.94,25.22,10.16,3514
"2026-05-24T14:17:40.000Z",18.11,19.9,30.01,17.46,5.08,3406
"2026-05-24T14:18:00.000Z",14.91,20.8,6.32,21.19,11.33,2804
"2026-05-24T14:18:20.000Z",19.11,18.1,29.31,20.62,8.42,3594
"2026-05-24T14:18:40.000Z",13.43,16.75,12.04,19.65,5.27,2525
"2026-05-24T14:19:00.000Z",17.71,19.77,17.01,20.72,13.35,3330
"2026-05-24T14:19:20.000Z",16.61,12.16,11.51,22.32,20.46,3123
"2026-05-24T14:19:40.000Z",18.47,19.94,16.13,19.92,17.91,3474
"2026-05-24T14:20:00.000Z",18.05,30.27,18.7,4.36,18.88,3394
"2026-05-24T14:20:20.000Z",14.67,8.28,19.26,12.23,18.91,2758
"2026-05-24T14:20:40.000Z",17.06,12.39,21.17,18.23,16.46,3208
"2026-05-24T14:21:00.000Z",16.19,10.93,20.01,17.63,16.19,3044
"2026-05-24T14:21:20.000Z",16.73,11.71,17.45,17.02,20.72,3145
"2026-05-24T14:21:40.000Z",16.04,23.26,17.5,4.23,19.16,3016
"2026-05-24T14:22:00.000Z",18.46,21.76,22.76,7.54,21.79,3472
"2026-05-24T14:22:20.000Z",19.83,22.8,24.9,9.68,21.96,3729
"2026-05-24T14:22:40.000Z",19.16,5.67,20.46,31.32,19.18,3602
"2026-05-24T14:23:00.000Z",15.96,4.32,21.47,19.07,18.99,3002
"2026-05-24T14:23:20.000Z",18.02,22.58,20.2,5.63,23.68,3389
"2026-05-24T14:23:40.000Z",16.63,6.62,20.84,19.76,19.31,3127
"2026-05-24T14:24:00.000Z",16.35,18.17,19.98,7.47,19.76,3074
"2026-05-24T14:24:20.000Z",18.16,22.23,23.84,4.41,22.15,3414
"2026-05-24T14:24:40.000Z",15.8,19.94,19.25,5.95,18.04,2970
"2026-05-24T14:25:00.000Z",22.83,28.48,11.76,24.7,26.38,4293
"2026-05-24T14:25:20.000Z",16.92,22.06,15.3,18.42,11.89,3181
"2026-05-24T14:25:40.000Z",17.92,17.75,6.73,21.22,26,3370
"2026-05-24T14:26:00.000Z",13.81,21.3,6.1,16.59,11.26,2597
"2026-05-24T14:26:20.000Z",16.33,22.95,6.91,16.97,18.48,3070
"2026-05-24T14:26:40.000Z",16.13,22.46,8.43,17.48,16.16,3033
"2026-05-24T14:27:00.000Z",17.97,24.52,8.65,18.9,19.81,3379
"2026-05-24T14:27:20.000Z",17.41,27.52,8.87,24.31,8.95,3274
"2026-05-24T14:27:40.000Z",19.13,19.02,23.56,22.37,11.57,3597
"2026-05-24T14:28:00.000Z",20.26,19.73,29.92,21.76,9.62,3808
"2026-05-24T14:28:20.000Z",16.55,18.26,5.94,20.16,21.82,3111
"2026-05-24T14:28:40.000Z",17.57,17.53,7.7,20.78,24.28,3304
"2026-05-24T14:29:00.000Z",19.87,24.97,7.65,27.35,19.51,3736
"2026-05-24T14:29:20.000Z",33.78,30.89,28.38,33.16,42.69,6351
"2026-05-24T14:29:40.000Z",22.85,27.75,19.65,25.74,18.26,4296
"2026-05-24T14:30:00.000Z",28.04,34.56,13.31,38.33,25.95,5272
"2026-05-24T14:30:20.000Z",21.45,29.34,6.88,26.34,23.22,4032
"2026-05-24T14:30:40.000Z",20.05,23.13,9.81,24.81,22.46,3770
"2026-05-24T14:31:00.000Z",20.79,21.25,4.35,22.1,35.47,3909
"2026-05-24T14:31:20.000Z",14.85,19.24,4.85,22.88,12.44,2793
"2026-05-24T14:31:40.000Z",18.11,20.74,25.3,20.35,6.05,3405
"2026-05-24T14:32:00.000Z",17.43,23.65,8.26,23.04,14.75,3276
"2026-05-24T14:32:20.000Z",18.64,18.32,17.16,20.69,18.38,3504
"2026-05-24T14:32:40.000Z",19.06,17.59,19.82,19.57,19.24,3583
"2026-05-24T14:33:00.000Z",17.96,28.64,7.51,20.92,14.76,3377
"2026-05-24T14:33:20.000Z",22.45,29.4,4.98,30.86,24.58,4221
"2026-05-24T14:33:40.000Z",15.42,18.66,4.22,20.29,18.53,2900
"2026-05-24T14:34:00.000Z",20.01,21.31,4.29,20.89,33.55,3762
"2026-05-24T14:34:20.000Z",14.53,19.56,4.8,16.94,16.82,2731
"2026-05-24T14:34:40.000Z",17.76,23,22.92,19.4,5.74,3340
"2026-05-24T14:35:00.000Z",17.15,19.99,12.49,17.81,18.33,3225
"2026-05-24T14:35:20.000Z",15.77,16.1,13.28,15.42,18.27,2965
"2026-05-24T14:35:40.000Z",13.58,7.38,20.05,8.29,18.62,2554
"2026-05-24T14:36:00.000Z",16.83,21.62,20.01,6.88,18.81,3165
"2026-05-24T14:36:20.000Z",16.48,8.89,17.84,21.53,17.67,3099
"2026-05-24T14:36:40.000Z",17.21,8.71,19.14,17.74,23.25,3236
"2026-05-24T14:37:00.000Z",33.6,35.05,33.17,35.09,31.09,6317
"2026-05-24T14:37:20.000Z",29.98,47.96,19.98,38.22,13.76,5637
"2026-05-24T14:37:40.000Z",42.4,53.66,33.75,28.82,53.37,7972
"2026-05-24T14:38:00.000Z",44.44,70.4,27.29,70.87,9.19,8354
"2026-05-24T14:38:20.000Z",32.99,40.84,22.05,40.26,28.79,6202
"2026-05-24T14:38:40.000Z",19.41,23.52,19.36,23.97,10.79,3650
"2026-05-24T14:39:00.000Z",17.3,24.19,10.94,23.86,10.2,3253
"2026-05-24T14:39:20.000Z",17.78,22.48,17.81,21.36,9.47,3343
