"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-16T14:00:00.000Z",4579092,2561952,8355668,47488,39800,92.19,9666616
"2026-05-16T14:00:20.000Z",4695308,2558136,8358960,47424,46780,92.05,9652144
"2026-05-16T14:00:40.000Z",4767432,2555924,8366356,48052,47156,92.04,9650528
"2026-05-16T14:01:00.000Z",4769408,2552152,8375212,48104,48164,92.16,9663284
"2026-05-16T14:01:20.000Z",4477360,2592060,8322440,48588,0,91.53,9597652
"2026-05-16T14:01:40.000Z",4300132,2590320,8327280,49320,0,91.43,9587044
"2026-05-16T14:02:00.000Z",4299580,2588540,8330188,49672,0,91.4,9583768
"2026-05-16T14:02:20.000Z",4341500,2587184,8332560,49352,0,91.46,9589572
"2026-05-16T14:02:40.000Z",4318540,2584976,8335628,50192,0,91.43,9586352
"2026-05-16T14:03:00.000Z",4320556,2580632,8342380,49876,0,91.5,9593572
"2026-05-16T14:03:20.000Z",4239564,2579328,8344300,50936,0,91.45,9588292
"2026-05-16T14:03:40.000Z",4301188,2576524,8348540,51124,0,91.44,9588128
"2026-05-16T14:04:00.000Z",4315912,2573352,8392280,51316,0,92.27,9674784
"2026-05-16T14:04:20.000Z",4527204,2554084,8476156,50580,0,93.31,9783608
"2026-05-16T14:04:40.000Z",4559580,2552304,8548700,51244,0,94.46,9903916
"2026-05-16T14:05:00.000Z",4506420,2591208,8273508,51376,0,91.58,9601948
"2026-05-16T14:05:20.000Z",4521556,2589432,8288216,51300,0,91.15,9557368
"2026-05-16T14:05:40.000Z",4091196,2587400,8305936,51340,0,91.33,9575964
"2026-05-16T14:06:00.000Z",4092008,2585028,8313672,51672,0,91.35,9578772
"2026-05-16T14:06:20.000Z",4069136,2581516,8326872,51580,0,91.97,9643188
"2026-05-16T14:06:40.000Z",4279752,2579780,8320972,51916,0,92.45,9693636
"2026-05-16T14:07:00.000Z",4255632,2587324,8267352,52672,0,91.07,9548632
