"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-23T16:54:20.000Z",91004,0,370620,8,0,17.86,1872740
"2026-05-23T16:54:40.000Z",91552,0,370620,8,0,17.86,1872856
"2026-05-23T16:55:00.000Z",93784,0,370620,8,0,17.86,1873424
"2026-05-23T16:55:20.000Z",93924,0,370620,8,0,17.87,1874004
"2026-05-23T16:55:40.000Z",92836,0,370620,8,0,17.85,1872116
"2026-05-23T16:56:00.000Z",93812,0,370620,8,0,17.91,1878376
"2026-05-23T16:56:20.000Z",91580,0,370620,8,0,17.84,1871520
"2026-05-23T16:56:40.000Z",93144,0,370620,8,0,17.85,1871644
"2026-05-23T16:57:00.000Z",92428,0,370620,8,0,17.91,1878744
"2026-05-23T16:57:20.000Z",93224,0,370620,8,0,17.86,1873016
"2026-05-23T16:57:40.000Z",93228,0,370620,8,0,17.86,1873028
"2026-05-23T16:58:00.000Z",94360,0,370620,8,0,17.86,1873032
"2026-05-23T16:58:20.000Z",94360,0,370620,8,0,17.86,1873040
"2026-05-23T16:58:40.000Z",94360,0,370620,8,0,17.86,1873040
"2026-05-23T16:59:00.000Z",94588,0,370620,8,0,17.86,1873048
"2026-05-23T16:59:20.000Z",94588,0,370620,8,0,17.86,1873048
"2026-05-23T16:59:40.000Z",94588,0,370620,8,0,17.86,1873048
"2026-05-23T17:00:00.000Z",94196,0,370620,8,0,17.86,1873304
"2026-05-23T17:00:20.000Z",93840,0,370620,8,0,17.86,1872768
"2026-05-23T17:00:40.000Z",93688,0,370620,8,0,17.85,1871564
"2026-05-23T17:01:00.000Z",91668,0,370620,8,0,17.91,1878320
"2026-05-23T17:01:20.000Z",90340,0,370620,8,0,17.85,1871876
"2026-05-23T17:01:40.000Z",90572,0,370620,8,0,17.86,1873484
"2026-05-23T17:02:00.000Z",92528,0,370620,8,0,17.92,1879616
"2026-05-23T17:02:20.000Z",92548,0,370620,8,0,17.86,1873400
"2026-05-23T17:02:40.000Z",92548,0,370620,8,0,17.86,1873404
"2026-05-23T17:03:00.000Z",94580,0,370620,8,0,17.87,1874100
"2026-05-23T17:03:20.000Z",95008,0,370620,8,0,17.87,1874104
"2026-05-23T17:03:40.000Z",95008,0,370620,8,0,17.87,1874104
"2026-05-23T17:04:00.000Z",95528,0,370620,8,0,17.87,1874096
"2026-05-23T17:04:20.000Z",95528,0,370620,8,0,17.87,1874096
"2026-05-23T17:04:40.000Z",95528,0,370620,8,0,17.87,1874164
"2026-05-23T17:05:00.000Z",92016,0,370620,8,0,17.87,1874652
"2026-05-23T17:05:20.000Z",90384,0,370620,8,0,17.86,1873396
"2026-05-23T17:05:40.000Z",91652,0,370620,8,0,17.9,1876952
"2026-05-23T17:06:00.000Z",91700,0,370620,8,0,17.96,1883828
"2026-05-23T17:06:20.000Z",91776,0,370620,8,0,17.9,1877624
"2026-05-23T17:06:40.000Z",91808,0,370620,8,0,17.91,1878084
"2026-05-23T17:07:00.000Z",91708,0,370620,8,0,17.97,1884304
"2026-05-23T17:07:20.000Z",92136,0,370620,8,0,17.91,1878520
"2026-05-23T17:07:40.000Z",92264,0,370620,8,0,17.94,1881032
"2026-05-23T17:08:00.000Z",95140,0,370620,8,0,17.93,1880876
"2026-05-23T17:08:20.000Z",95252,0,370620,8,0,17.93,1880908
"2026-05-23T17:08:40.000Z",95252,0,370620,8,0,17.93,1880908
"2026-05-23T17:09:00.000Z",95836,0,370620,8,0,17.93,1880920
"2026-05-23T17:09:20.000Z",95836,0,370620,8,0,17.93,1880920
"2026-05-23T17:09:40.000Z",95836,0,370620,8,0,17.93,1880928
"2026-05-23T17:10:00.000Z",91112,0,370620,8,0,17.94,1881440
"2026-05-23T17:10:20.000Z",91120,0,370620,8,0,17.93,1880800
"2026-05-23T17:10:40.000Z",90152,0,370620,8,0,17.89,1876476
"2026-05-23T17:11:00.000Z",93660,0,370620,8,0,17.96,1883624
"2026-05-23T17:11:20.000Z",93752,0,370620,8,0,17.9,1877480
"2026-05-23T17:11:40.000Z",93752,0,370620,8,0,17.9,1877512
"2026-05-23T17:12:00.000Z",94700,0,370620,8,0,17.96,1883744
"2026-05-23T17:12:20.000Z",94660,0,370620,8,0,17.9,1877516
"2026-05-23T17:12:40.000Z",94660,0,370620,8,0,17.9,1877516
"2026-05-23T17:13:00.000Z",93608,0,370620,8,0,17.9,1877532
"2026-05-23T17:13:20.000Z",93608,0,370620,8,0,17.9,1877524
"2026-05-23T17:13:40.000Z",93608,0,370620,8,0,17.9,1877524
"2026-05-23T17:14:00.000Z",92780,0,370620,8,0,17.9,1877520
"2026-05-23T17:14:20.000Z",92780,0,370620,8,0,17.9,1877520
"2026-05-23T17:14:40.000Z",92780,0,370620,8,0,17.9,1877584
"2026-05-23T17:15:00.000Z",87704,0,370620,8,0,17.9,1877804
"2026-05-23T17:15:20.000Z",87712,0,370620,8,0,17.91,1878284
"2026-05-23T17:15:40.000Z",87436,0,370620,8,0,17.9,1877040
"2026-05-23T17:16:00.000Z",96704,0,370620,8,0,17.96,1883216
"2026-05-23T17:16:20.000Z",96384,0,370620,8,0,17.9,1877024
"2026-05-23T17:16:40.000Z",95716,0,370620,8,0,17.88,1874988
"2026-05-23T17:17:00.000Z",92308,0,370620,8,0,17.94,1881564
"2026-05-23T17:17:20.000Z",91752,0,370620,8,0,17.85,1872148
"2026-05-23T17:17:40.000Z",91520,0,370620,8,0,17.85,1871992
"2026-05-23T17:18:00.000Z",96452,0,370620,8,0,17.86,1872784
"2026-05-23T17:18:20.000Z",96468,0,370620,8,0,17.86,1872880
"2026-05-23T17:18:40.000Z",96468,0,370620,8,0,17.86,1872880
"2026-05-23T17:19:00.000Z",91536,0,370620,8,0,17.86,1872984
"2026-05-23T17:19:20.000Z",91960,0,370620,8,0,17.86,1873144
"2026-05-23T17:19:40.000Z",91960,0,370620,8,0,17.86,1873144
"2026-05-23T17:20:00.000Z",90276,0,370620,8,0,17.87,1874240
"2026-05-23T17:20:20.000Z",88384,0,370620,8,0,17.84,1871396
"2026-05-23T17:20:40.000Z",89808,0,370620,8,0,17.84,1870936
"2026-05-23T17:21:00.000Z",90300,0,370620,8,0,17.9,1877492
"2026-05-23T17:21:20.000Z",94708,0,370620,8,0,17.85,1871948
"2026-05-23T17:21:40.000Z",94708,0,370620,8,0,17.85,1871972
"2026-05-23T17:22:00.000Z",94708,0,370620,8,0,17.92,1879344
"2026-05-23T17:22:20.000Z",95344,0,370620,8,0,17.85,1871996
"2026-05-23T17:22:40.000Z",95344,0,370620,8,0,17.85,1871996
"2026-05-23T17:23:00.000Z",95344,0,370620,8,0,17.85,1872004
"2026-05-23T17:23:20.000Z",91404,0,370620,8,0,17.85,1872004
"2026-05-23T17:23:40.000Z",91404,0,370620,8,0,17.85,1872236
"2026-05-23T17:24:00.000Z",91768,0,370620,8,0,18.66,1957460
"2026-05-23T17:24:20.000Z",125480,0,452040,8,0,18.84,1975824
"2026-05-23T17:24:40.000Z",125536,0,452248,8,0,18.84,1976192
"2026-05-23T17:25:00.000Z",125592,0,452264,8,0,18.86,1977472
"2026-05-23T17:25:20.000Z",2990216,0,882664,8,0,25.2,2642628
"2026-05-23T17:25:40.000Z",3177268,0,2901952,8,0,42.79,4486928
"2026-05-23T17:26:00.000Z",3177580,0,2908116,8,0,42.76,4483928
"2026-05-23T17:26:20.000Z",3100592,0,2910192,8,0,42.74,4481924
"2026-05-23T17:26:40.000Z",3117036,0,2914304,8,0,42.73,4480792
