"Time","Usage for esxidr.hbmsolutions.mt"
"2026-05-23T14:25:00.000Z",1.12
"2026-05-23T14:30:00.000Z",1
"2026-05-23T14:35:00.000Z",0.99
"2026-05-23T14:40:00.000Z",1.02
"2026-05-23T14:45:00.000Z",0.96
"2026-05-23T14:50:00.000Z",0.98
"2026-05-23T14:55:00.000Z",0.98
"2026-05-23T15:00:00.000Z",0.95
"2026-05-23T15:05:00.000Z",1.04
"2026-05-23T15:10:00.000Z",0.97
"2026-05-23T15:15:00.000Z",0.99
"2026-05-23T15:20:00.000Z",0.95
"2026-05-23T15:25:00.000Z",1.13
"2026-05-23T15:30:00.000Z",0.97
"2026-05-23T15:35:00.000Z",0.99
"2026-05-23T15:40:00.000Z",1
"2026-05-23T15:45:00.000Z",0.96
"2026-05-23T15:50:00.000Z",0.97
"2026-05-23T15:55:00.000Z",0.97
"2026-05-23T16:00:00.000Z",0.99
"2026-05-23T16:05:00.000Z",1.02
"2026-05-23T16:10:00.000Z",0.97
"2026-05-23T16:15:00.000Z",0.94
"2026-05-23T16:20:00.000Z",0.98
"2026-05-23T16:25:00.000Z",1.09
"2026-05-23T16:30:00.000Z",0.97
"2026-05-23T16:35:00.000Z",0.98
"2026-05-23T16:40:00.000Z",0.99
"2026-05-23T16:45:00.000Z",0.94
"2026-05-23T16:50:00.000Z",0.96
"2026-05-23T16:55:00.000Z",0.99
"2026-05-23T17:00:00.000Z",0.97
"2026-05-23T17:05:00.000Z",0.99
"2026-05-23T17:10:00.000Z",0.97
"2026-05-23T17:15:00.000Z",0.93
"2026-05-23T17:20:00.000Z",0.96
"2026-05-23T17:25:00.000Z",1.08
"2026-05-23T17:30:00.000Z",6.3
"2026-05-23T17:35:00.000Z",2.45
"2026-05-23T17:40:00.000Z",1.2
"2026-05-23T17:45:00.000Z",1.11
"2026-05-23T17:50:00.000Z",1.94
"2026-05-23T17:55:00.000Z",2.21
"2026-05-23T18:00:00.000Z",2.14
"2026-05-23T18:05:00.000Z",2.25
"2026-05-23T18:10:00.000Z",2.23
"2026-05-23T18:15:00.000Z",2.1
"2026-05-23T18:20:00.000Z",2.11
"2026-05-23T18:25:00.000Z",2.26
"2026-05-23T18:30:00.000Z",2.11
"2026-05-23T18:35:00.000Z",2.07
"2026-05-23T18:40:00.000Z",2.17
"2026-05-23T18:45:00.000Z",2.14
"2026-05-23T18:50:00.000Z",1.98
"2026-05-23T18:55:00.000Z",2.16
"2026-05-23T19:00:00.000Z",2.06
"2026-05-23T19:05:00.000Z",2.26
"2026-05-23T19:10:00.000Z",2.16
"2026-05-23T19:15:00.000Z",2.29
"2026-05-23T19:20:00.000Z",2.24
"2026-05-23T19:25:00.000Z",2.34
