"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-22T17:44:20.000Z",3841484,2429556,8352052,53536,0,91.89,9635012
"2026-05-22T17:44:40.000Z",3851972,2429428,8352492,53432,0,91.9,9635636
"2026-05-22T17:45:00.000Z",3915252,2429268,8353268,53336,0,91.91,9636708
"2026-05-22T17:45:20.000Z",3873320,2429052,8354132,53564,0,91.9,9636172
"2026-05-22T17:45:40.000Z",3872540,2427876,8355760,53756,0,91.88,9634164
"2026-05-22T17:46:00.000Z",3495080,2427672,8356948,53832,0,91.89,9635372
"2026-05-22T17:46:20.000Z",3472568,2427528,8357296,53552,0,91.87,9633084
"2026-05-22T17:46:40.000Z",3567208,2425696,8360968,53416,0,91.92,9637664
"2026-05-22T17:47:00.000Z",3760176,2425468,8361648,53400,0,91.93,9639008
"2026-05-22T17:47:20.000Z",3727788,2425344,8362148,53712,0,91.89,9634900
"2026-05-22T17:47:40.000Z",3654540,2425136,8362488,53444,0,91.88,9633572
"2026-05-22T17:48:00.000Z",3527816,2424928,8363180,53432,0,91.88,9634288
"2026-05-22T17:48:20.000Z",3580244,2424440,8364468,53576,0,91.89,9634496
"2026-05-22T17:48:40.000Z",3601212,2424268,8364856,53536,0,91.89,9635384
"2026-05-22T17:49:00.000Z",3789800,2424124,8365180,53584,0,91.9,9636020
"2026-05-22T17:49:20.000Z",3810776,2423980,8365764,53888,0,91.89,9635256
"2026-05-22T17:49:40.000Z",3789808,2423860,8366036,53948,0,91.89,9635216
"2026-05-22T17:50:00.000Z",3660100,2423072,8369516,53856,0,91.94,9640552
"2026-05-22T17:50:20.000Z",3597204,2422768,8370632,53836,0,91.94,9640588
"2026-05-22T17:50:40.000Z",3575900,2422672,8370884,54120,0,91.91,9636728
"2026-05-22T17:51:00.000Z",3516976,2422032,8371952,54252,0,91.92,9637992
"2026-05-22T17:51:20.000Z",3484448,2421744,8372656,54000,0,91.92,9637980
"2026-05-22T17:51:40.000Z",3484300,2420908,8377156,53724,0,91.97,9643148
"2026-05-22T17:52:00.000Z",3561516,2420236,8378296,54024,0,91.96,9642376
"2026-05-22T17:52:20.000Z",3560588,2419456,8380440,53648,0,91.99,9645004
"2026-05-22T17:52:40.000Z",3560868,2419336,8380916,53840,0,91.98,9644100
"2026-05-22T17:53:00.000Z",3695816,2415516,8392876,54392,0,92.05,9651656
"2026-05-22T17:53:20.000Z",3706300,2415376,8393284,54208,0,92.06,9652912
"2026-05-22T17:53:40.000Z",3706300,2415284,8393852,54304,0,92.06,9652788
"2026-05-22T17:54:00.000Z",3884408,2415232,8394212,54196,0,92.07,9654124
"2026-05-22T17:54:20.000Z",3894900,2414988,8394656,54044,0,92.08,9654600
"2026-05-22T17:54:40.000Z",3895700,2414808,8394972,54132,0,92.09,9656264
"2026-05-22T17:55:00.000Z",3820664,2414772,8395240,54548,0,92.06,9652840
"2026-05-22T17:55:20.000Z",3830700,2414668,8395620,54624,0,92.06,9652848
"2026-05-22T17:55:40.000Z",3830740,2414500,8395880,54724,0,92.05,9652052
"2026-05-22T17:56:00.000Z",3537272,2414392,8396168,54720,0,92.06,9652868
"2026-05-22T17:56:20.000Z",3488100,2414336,8396456,54556,0,92.07,9653480
"2026-05-22T17:56:40.000Z",3488724,2413932,8397956,54420,0,92.2,9667460
"2026-05-22T17:57:00.000Z",3434412,2413856,8398220,54344,0,92.21,9668184
"2026-05-22T17:57:20.000Z",3461336,2409604,8418952,54176,0,92.34,9682132
"2026-05-22T17:57:40.000Z",3523076,2408972,8419724,54248,0,92.34,9682328
"2026-05-22T17:58:00.000Z",3838376,2389204,8460848,50636,0,93.31,9783408
"2026-05-22T17:58:20.000Z",4012708,2481016,8487648,49592,0,93.19,9771220
"2026-05-22T17:58:40.000Z",4033680,2480340,8489732,49544,0,92.96,9747056
"2026-05-22T17:59:00.000Z",3667540,2489544,8469300,49452,0,92.8,9729960
"2026-05-22T17:59:20.000Z",3611888,2488344,8469788,49656,0,92.8,9730276
"2026-05-22T17:59:40.000Z",3611888,2487952,8471388,49932,0,92.81,9731592
"2026-05-22T18:00:00.000Z",3737764,2487700,8471956,49988,0,92.81,9731100
"2026-05-22T18:00:20.000Z",3698868,2480536,8480504,49256,0,92.95,9745976
"2026-05-22T18:00:40.000Z",3708984,2472880,8486180,49508,0,93,9751440
"2026-05-22T18:01:00.000Z",3646080,2471012,8464328,49916,0,92.86,9736828
"2026-05-22T18:01:20.000Z",3763748,2464960,8463852,49616,0,92.88,9738496
"2026-05-22T18:01:40.000Z",3774016,2463652,8448388,49660,0,92.78,9728528
"2026-05-22T18:02:00.000Z",4320424,2464168,8430020,50020,0,92.68,9717672
"2026-05-22T18:02:20.000Z",4311184,2463640,8438236,49204,0,92.77,9727092
"2026-05-22T18:02:40.000Z",4311200,2438940,8494756,48780,0,93.23,9775644
"2026-05-22T18:03:00.000Z",4037900,2440472,8412552,48792,0,92.78,9727916
"2026-05-22T18:03:20.000Z",4061140,2440052,8408912,49112,0,92.64,9713220
"2026-05-22T18:03:40.000Z",4061140,2435904,8408052,49180,0,92.64,9713192
"2026-05-22T18:04:00.000Z",4312800,2435496,8406200,49368,0,92.64,9713368
"2026-05-22T18:04:20.000Z",4226660,2435196,8414764,49320,0,92.7,9720300
"2026-05-22T18:04:40.000Z",4226660,2434884,8422048,49064,0,92.75,9725400
"2026-05-22T18:05:00.000Z",4216236,2429228,8440368,50028,0,92.85,9735752
"2026-05-22T18:05:20.000Z",3949856,2449588,8375680,49616,0,92.4,9688076
"2026-05-22T18:05:40.000Z",3949484,2447320,8386736,49424,0,92.45,9693804
"2026-05-22T18:06:00.000Z",3928808,2446804,8389888,49560,0,92.47,9695712
"2026-05-22T18:06:20.000Z",3982044,2446360,8394464,49640,0,92.48,9696496
"2026-05-22T18:06:40.000Z",4045360,2433880,8421808,48904,0,92.78,9727732
"2026-05-22T18:07:00.000Z",4035764,2433604,8425832,49668,0,92.77,9727400
"2026-05-22T18:07:20.000Z",4380620,2442112,8401764,49072,0,92.59,9708316
"2026-05-22T18:07:40.000Z",4412136,2440564,8409168,48792,0,92.67,9716524
"2026-05-22T18:08:00.000Z",4454124,2439560,8412752,48808,0,92.65,9714252
"2026-05-22T18:08:20.000Z",4109396,2437460,8409232,48508,0,92.68,9717824
"2026-05-22T18:08:40.000Z",4109396,2437348,8407888,48452,0,92.64,9713200
"2026-05-22T18:09:00.000Z",4182900,2436032,8409976,49120,0,92.63,9712772
"2026-05-22T18:09:20.000Z",4200716,2435328,8410880,49316,0,92.62,9711348
"2026-05-22T18:09:40.000Z",4201172,2434992,8411536,49532,0,92.64,9713596
"2026-05-22T18:10:00.000Z",4201252,2434856,8411524,49672,0,92.63,9712504
"2026-05-22T18:10:20.000Z",4065352,2434684,8411284,49344,0,92.64,9713252
"2026-05-22T18:10:40.000Z",4065012,2434256,8412812,49448,0,92.69,9718544
"2026-05-22T18:11:00.000Z",4043292,2433856,8414444,49636,0,92.63,9712316
"2026-05-22T18:11:20.000Z",3947948,2432336,8408600,48792,0,92.64,9713280
"2026-05-22T18:11:40.000Z",3948252,2431700,8406584,48976,0,92.63,9713024
"2026-05-22T18:12:00.000Z",3875584,2431548,8406776,49532,0,92.62,9711808
"2026-05-22T18:12:20.000Z",3734880,2430996,8409196,49448,0,92.62,9710988
"2026-05-22T18:12:40.000Z",3735148,2430532,8411316,49852,0,92.63,9712192
"2026-05-22T18:13:00.000Z",3735920,2430364,8412880,50144,0,92.62,9711548
"2026-05-22T18:13:20.000Z",3751176,2430144,8413684,49996,0,92.61,9710532
"2026-05-22T18:13:40.000Z",3751180,2430984,8416204,50112,0,92.69,9718608
"2026-05-22T18:14:00.000Z",3751180,2430348,8417068,50588,0,92.61,9710396
"2026-05-22T18:14:20.000Z",3672928,2432304,8417960,50208,0,92.63,9712204
"2026-05-22T18:14:40.000Z",3672928,2431912,8415540,50056,0,92.63,9712860
"2026-05-22T18:15:00.000Z",3672984,2431956,8415132,50132,0,92.63,9713028
"2026-05-22T18:15:20.000Z",3578544,2431552,8414772,50392,0,92.63,9712904
"2026-05-22T18:15:40.000Z",3578724,2430372,8417384,49960,0,92.67,9716324
"2026-05-22T18:16:00.000Z",3599832,2441012,8416548,49908,0,92.64,9713832
"2026-05-22T18:16:20.000Z",3928544,2446716,8418892,49884,0,92.64,9713288
"2026-05-22T18:16:40.000Z",3928604,2449460,8426596,50032,0,92.62,9711192
"2026-05-22T18:17:00.000Z",3897148,2448964,8428432,49988,0,92.62,9711048
"2026-05-22T18:17:20.000Z",3562948,2461288,8435620,50176,0,92.59,9708744
"2026-05-22T18:17:40.000Z",3562948,2460648,8437284,50316,0,92.6,9708932
"2026-05-22T18:18:00.000Z",3552524,2459072,8439924,50556,0,92.6,9709844
"2026-05-22T18:18:20.000Z",3604148,2492816,8446612,50220,0,92.48,9696408
"2026-05-22T18:18:40.000Z",3635608,2487592,8454052,50016,0,92.57,9706000
"2026-05-22T18:19:00.000Z",3740464,2483180,8461248,50276,0,92.59,9707904
"2026-05-22T18:19:20.000Z",4287940,2497176,8452908,50156,0,92.48,9697144
"2026-05-22T18:19:40.000Z",4287940,2496760,8453980,50416,0,92.47,9695696
"2026-05-22T18:20:00.000Z",4256484,2496356,8454920,50740,0,92.45,9693432
"2026-05-22T18:20:20.000Z",3852284,2495472,8456364,50356,0,92.47,9695900
"2026-05-22T18:20:40.000Z",3852288,2495184,8457064,50092,0,92.46,9694568
"2026-05-22T18:21:00.000Z",3884228,2482736,8466356,44736,0,92.88,9738296
"2026-05-22T18:21:20.000Z",4093068,2472280,8453988,36904,0,92.89,9739324
"2026-05-22T18:21:40.000Z",4117084,2408660,8411124,34152,0,93.53,9807320
"2026-05-22T18:22:00.000Z",4662048,2316644,8400488,29724,0,93.76,9830504
"2026-05-22T18:22:20.000Z",4865104,2330732,8346108,28920,0,93.46,9799784
"2026-05-22T18:22:40.000Z",5554924,2335832,8273168,26896,0,93.1,9762004
"2026-05-22T18:23:00.000Z",5492056,2334044,8303160,26704,0,93.24,9776996
"2026-05-22T18:23:20.000Z",5457520,2337548,8310288,26576,0,93.27,9779144
"2026-05-22T18:23:40.000Z",6022216,2381172,8178868,26332,0,92.51,9699688
