"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-18T19:23:20.000Z",96404,0,370340,8,0,18.12,1899884
"2026-05-18T19:23:40.000Z",97064,0,370340,8,0,18.03,1891280
"2026-05-18T19:24:00.000Z",97236,0,370340,8,0,18,1887740
"2026-05-18T19:24:20.000Z",100108,0,370340,8,0,18.01,1888740
"2026-05-18T19:24:40.000Z",100536,0,370340,8,0,18.02,1889640
"2026-05-18T19:25:00.000Z",100548,0,370340,8,0,17.98,1886144
"2026-05-18T19:25:20.000Z",101672,0,370340,8,0,17.97,1884656
"2026-05-18T19:25:40.000Z",101732,0,370340,8,0,18.02,1890200
"2026-05-18T19:26:00.000Z",101732,0,370340,8,0,17.97,1884516
"2026-05-18T19:26:20.000Z",94568,0,370340,8,0,17.98,1885700
"2026-05-18T19:26:40.000Z",93792,0,370340,8,0,17.95,1882444
"2026-05-18T19:27:00.000Z",93792,0,370340,8,0,17.97,1884240
"2026-05-18T19:27:20.000Z",95188,0,370340,8,0,17.99,1886424
"2026-05-18T19:27:40.000Z",95188,0,370340,8,0,17.95,1882812
"2026-05-18T19:28:00.000Z",95172,0,370340,8,0,17.99,1887204
"2026-05-18T19:28:20.000Z",94868,0,370340,8,0,17.92,1879012
"2026-05-18T19:28:40.000Z",95824,0,370340,8,0,18,1888100
"2026-05-18T19:29:00.000Z",92948,0,370340,8,0,17.89,1876372
"2026-05-18T19:29:20.000Z",99248,0,370340,8,0,17.97,1884984
"2026-05-18T19:29:40.000Z",99096,0,370340,8,0,17.89,1876328
"2026-05-18T19:30:00.000Z",98192,0,370340,8,0,17.95,1882656
"2026-05-18T19:30:20.000Z",95120,0,370340,8,0,17.9,1877812
"2026-05-18T19:30:40.000Z",95604,0,370340,8,0,17.99,1887104
"2026-05-18T19:31:00.000Z",95568,0,370340,8,0,17.95,1882184
"2026-05-18T19:31:20.000Z",98948,0,370340,8,0,17.97,1884964
"2026-05-18T19:31:40.000Z",98988,0,370340,8,0,17.96,1883464
"2026-05-18T19:32:00.000Z",98988,0,370340,8,0,17.95,1882056
"2026-05-18T19:32:20.000Z",99024,0,370340,8,0,17.98,1885404
"2026-05-18T19:32:40.000Z",96196,0,370340,8,0,17.94,1881596
"2026-05-18T19:33:00.000Z",96196,0,370340,8,0,17.98,1885892
"2026-05-18T19:33:20.000Z",96196,0,370340,8,0,17.95,1882132
"2026-05-18T19:33:40.000Z",101212,0,370340,8,0,17.98,1885536
"2026-05-18T19:34:00.000Z",101212,0,370340,8,0,17.96,1884056
