"Time","Usage for esxidr.hbmsolutions.mt"
"2026-05-16T15:41:20.000Z",3.17
"2026-05-16T15:41:40.000Z",4.65
"2026-05-16T15:42:00.000Z",5.31
"2026-05-16T15:42:20.000Z",5.75
"2026-05-16T15:42:40.000Z",5.31
"2026-05-16T15:43:00.000Z",5.91
"2026-05-16T15:43:20.000Z",5.13
"2026-05-16T15:43:40.000Z",6.28
"2026-05-16T15:44:00.000Z",5.87
"2026-05-16T15:44:20.000Z",5.89
"2026-05-16T15:44:40.000Z",5.57
"2026-05-16T15:45:00.000Z",4.99
"2026-05-16T15:45:20.000Z",6.91
"2026-05-16T15:45:40.000Z",6.72
"2026-05-16T15:46:00.000Z",7.49
"2026-05-16T15:46:20.000Z",6.3
"2026-05-16T15:46:40.000Z",4.54
"2026-05-16T15:47:00.000Z",5.11
"2026-05-16T15:47:20.000Z",7.13
"2026-05-16T15:47:40.000Z",6.98
"2026-05-16T15:48:00.000Z",7.28
"2026-05-16T15:48:20.000Z",7.2
"2026-05-16T15:48:40.000Z",6.35
"2026-05-16T15:49:00.000Z",6.14
"2026-05-16T15:49:20.000Z",6.44
"2026-05-16T15:49:40.000Z",6.28
"2026-05-16T15:50:00.000Z",6.73
"2026-05-16T15:50:20.000Z",6.71
"2026-05-16T15:50:40.000Z",5.2
"2026-05-16T15:51:00.000Z",3.73
"2026-05-16T15:51:20.000Z",4.81
"2026-05-16T15:51:40.000Z",4.3
"2026-05-16T15:52:00.000Z",5.36
"2026-05-16T15:52:20.000Z",6.26
"2026-05-16T15:52:40.000Z",6.5
"2026-05-16T15:53:00.000Z",6.91
"2026-05-16T15:53:20.000Z",6.4
"2026-05-16T15:53:40.000Z",6.34
"2026-05-16T15:54:00.000Z",5.19
"2026-05-16T15:54:20.000Z",5.69
"2026-05-16T15:54:40.000Z",5.99
"2026-05-16T15:55:00.000Z",5.48
"2026-05-16T15:55:20.000Z",5.17
"2026-05-16T15:55:40.000Z",2.93
"2026-05-16T15:56:00.000Z",3.4
"2026-05-16T15:56:20.000Z",3.79
"2026-05-16T15:56:40.000Z",3.19
"2026-05-16T15:57:00.000Z",3.36
"2026-05-16T15:57:20.000Z",3.32
"2026-05-16T15:57:40.000Z",2.91
"2026-05-16T15:58:00.000Z",3.29
"2026-05-16T15:58:20.000Z",3.15
"2026-05-16T15:58:40.000Z",3.05
"2026-05-16T15:59:00.000Z",2.81
"2026-05-16T15:59:20.000Z",2.65
"2026-05-16T15:59:40.000Z",2.62
"2026-05-16T16:00:00.000Z",0.98
"2026-05-16T16:00:20.000Z",1.75
"2026-05-16T16:00:40.000Z",0.89
"2026-05-16T16:01:00.000Z",0.93
"2026-05-16T16:01:20.000Z",2.08
"2026-05-16T16:01:40.000Z",2.14
"2026-05-16T16:02:00.000Z",1.38
"2026-05-16T16:02:20.000Z",1.04
"2026-05-16T16:02:40.000Z",3.75
"2026-05-16T16:03:00.000Z",1.58
"2026-05-16T16:03:20.000Z",1.55
"2026-05-16T16:03:40.000Z",1.51
"2026-05-16T16:04:00.000Z",1.15
"2026-05-16T16:04:20.000Z",0.99
"2026-05-16T16:04:40.000Z",1.01
"2026-05-16T16:05:00.000Z",2.41
"2026-05-16T16:05:20.000Z",1.43
"2026-05-16T16:05:40.000Z",0.91
"2026-05-16T16:06:00.000Z",1.31
"2026-05-16T16:06:20.000Z",1.26
"2026-05-16T16:06:40.000Z",1.78
"2026-05-16T16:07:00.000Z",1.37
"2026-05-16T16:07:20.000Z",1.03
"2026-05-16T16:07:40.000Z",0.96
"2026-05-16T16:08:00.000Z",1
"2026-05-16T16:08:20.000Z",2.44
"2026-05-16T16:08:40.000Z",1.47
"2026-05-16T16:09:00.000Z",1.01
"2026-05-16T16:09:20.000Z",1.14
"2026-05-16T16:09:40.000Z",1.27
"2026-05-16T16:10:00.000Z",1.67
"2026-05-16T16:10:20.000Z",1.32
"2026-05-16T16:10:40.000Z",1.39
"2026-05-16T16:11:00.000Z",0.91
"2026-05-16T16:11:20.000Z",1.19
"2026-05-16T16:11:40.000Z",1.04
"2026-05-16T16:12:00.000Z",2.19
"2026-05-16T16:12:20.000Z",1.61
"2026-05-16T16:12:40.000Z",0.92
"2026-05-16T16:13:00.000Z",0.93
"2026-05-16T16:13:20.000Z",1.62
"2026-05-16T16:13:40.000Z",1.53
"2026-05-16T16:14:00.000Z",1.1
"2026-05-16T16:14:20.000Z",1.45
"2026-05-16T16:14:40.000Z",0.99
"2026-05-16T16:15:00.000Z",0.95
"2026-05-16T16:15:20.000Z",1.18
"2026-05-16T16:15:40.000Z",0.96
"2026-05-16T16:16:00.000Z",0.92
"2026-05-16T16:16:20.000Z",1.29
"2026-05-16T16:16:40.000Z",0.93
"2026-05-16T16:17:00.000Z",0.94
"2026-05-16T16:17:20.000Z",1.04
"2026-05-16T16:17:40.000Z",1.35
"2026-05-16T16:18:00.000Z",0.97
"2026-05-16T16:18:20.000Z",1.07
"2026-05-16T16:18:40.000Z",0.92
"2026-05-16T16:19:00.000Z",0.94
"2026-05-16T16:19:20.000Z",1
"2026-05-16T16:19:40.000Z",0.89
"2026-05-16T16:20:00.000Z",0.92
"2026-05-16T16:20:20.000Z",1.19
