"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-24T13:40:40.000Z",108296,0,453500,8,0,18.83,1974464
"2026-05-24T13:41:00.000Z",108712,0,453500,8,0,18.88,1980288
"2026-05-24T13:41:20.000Z",108752,0,453500,8,0,18.83,1974476
"2026-05-24T13:41:40.000Z",92496,0,370780,8,0,17.93,1880172
"2026-05-24T13:42:00.000Z",90160,0,370780,8,0,18,1887500
"2026-05-24T13:42:20.000Z",89812,0,370780,8,0,17.94,1881356
"2026-05-24T13:42:40.000Z",90628,0,370780,8,0,17.94,1881200
"2026-05-24T13:43:00.000Z",96632,0,370780,8,0,17.94,1881348
"2026-05-24T13:43:20.000Z",97188,0,370780,8,0,17.94,1881948
"2026-05-24T13:43:40.000Z",97188,0,370780,8,0,17.94,1881956
"2026-05-24T13:44:00.000Z",94204,0,370780,8,0,17.94,1881960
"2026-05-24T13:44:20.000Z",94204,0,370780,8,0,17.94,1881960
"2026-05-24T13:44:40.000Z",94204,0,370780,8,0,17.94,1881960
"2026-05-24T13:45:00.000Z",91064,0,370780,8,0,17.95,1882608
"2026-05-24T13:45:20.000Z",90568,0,370780,8,0,17.96,1883220
"2026-05-24T13:45:40.000Z",90672,0,370780,8,0,17.98,1885468
"2026-05-24T13:46:00.000Z",95420,0,370780,8,0,18.04,1891992
"2026-05-24T13:46:20.000Z",95460,0,370780,8,0,17.98,1885780
"2026-05-24T13:46:40.000Z",95460,0,370780,8,0,17.98,1885972
"2026-05-24T13:47:00.000Z",95536,0,370780,8,0,18.04,1892204
"2026-05-24T13:47:20.000Z",92524,0,370780,8,0,17.98,1885988
"2026-05-24T13:47:40.000Z",92524,0,370780,8,0,17.98,1885988
"2026-05-24T13:48:00.000Z",92524,0,370780,8,0,17.98,1886020
"2026-05-24T13:48:20.000Z",95832,0,370780,8,0,17.98,1886020
"2026-05-24T13:48:40.000Z",95832,0,370780,8,0,17.98,1886020
"2026-05-24T13:49:00.000Z",95832,0,370780,8,0,17.98,1886028
"2026-05-24T13:49:20.000Z",92932,0,370780,8,0,17.98,1886028
"2026-05-24T13:49:40.000Z",92932,0,370780,8,0,17.98,1886028
"2026-05-24T13:50:00.000Z",92932,0,370780,8,0,17.99,1886620
"2026-05-24T13:50:20.000Z",90796,0,370780,8,0,17.99,1886604
"2026-05-24T13:50:40.000Z",90356,0,370780,8,0,17.95,1883028
"2026-05-24T13:51:00.000Z",90516,0,370780,8,0,18.02,1889684
"2026-05-24T13:51:20.000Z",96768,0,370780,8,0,17.97,1884156
"2026-05-24T13:51:40.000Z",96800,0,370780,8,0,17.97,1884180
"2026-05-24T13:52:00.000Z",96800,0,370780,8,0,18.03,1890708
"2026-05-24T13:52:20.000Z",93120,0,370780,8,0,17.97,1884496
"2026-05-24T13:52:40.000Z",91872,0,370780,8,0,17.95,1882016
"2026-05-24T13:53:00.000Z",92652,0,370780,8,0,17.95,1882176
"2026-05-24T13:53:20.000Z",95180,0,370780,8,0,17.95,1882844
"2026-05-24T13:53:40.000Z",94456,0,370780,8,0,17.95,1882576
"2026-05-24T13:54:00.000Z",95232,0,370780,8,0,17.95,1882692
"2026-05-24T13:54:20.000Z",90392,0,370780,8,0,17.94,1881948
"2026-05-24T13:54:40.000Z",90908,0,370780,8,0,17.94,1881964
"2026-05-24T13:55:00.000Z",91684,0,370780,8,0,17.96,1883208
"2026-05-24T13:55:20.000Z",87704,0,370780,8,0,17.96,1884044
"2026-05-24T13:55:40.000Z",88088,0,370780,8,0,17.97,1884204
"2026-05-24T13:56:00.000Z",87116,0,370780,8,0,18.01,1888400
"2026-05-24T13:56:20.000Z",96928,0,370780,8,0,17.95,1882380
"2026-05-24T13:56:40.000Z",96964,0,370780,8,0,17.95,1882732
"2026-05-24T13:57:00.000Z",97004,0,370780,8,0,18.01,1888960
"2026-05-24T13:57:20.000Z",93416,0,370780,8,0,17.96,1883636
"2026-05-24T13:57:40.000Z",91464,0,370780,8,0,17.92,1879680
"2026-05-24T13:58:00.000Z",92376,0,370780,8,0,17.93,1880036
"2026-05-24T13:58:20.000Z",94968,0,370780,8,0,17.93,1880136
"2026-05-24T13:58:40.000Z",94968,0,370780,8,0,17.93,1880140
"2026-05-24T13:59:00.000Z",94968,0,370780,8,0,17.93,1880148
"2026-05-24T13:59:20.000Z",93564,0,370780,8,0,17.93,1880744
"2026-05-24T13:59:40.000Z",93564,0,370780,8,0,17.93,1880744
"2026-05-24T14:00:00.000Z",93564,0,370780,8,0,17.94,1880988
"2026-05-24T14:00:20.000Z",93036,0,370780,8,0,17.94,1881180
"2026-05-24T14:00:40.000Z",92404,0,370780,8,0,17.94,1881408
"2026-05-24T14:01:00.000Z",92912,0,370780,8,0,18,1887752
"2026-05-24T14:01:20.000Z",91832,0,370780,8,0,17.94,1881752
"2026-05-24T14:01:40.000Z",92344,0,370780,8,0,17.94,1881440
"2026-05-24T14:02:00.000Z",93484,0,370780,8,0,18,1887984
"2026-05-24T14:02:20.000Z",94764,0,370780,8,0,17.94,1881376
"2026-05-24T14:02:40.000Z",90440,0,370780,8,0,17.93,1880552
"2026-05-24T14:03:00.000Z",91736,0,370780,8,0,17.93,1880788
"2026-05-24T14:03:20.000Z",92172,0,370780,8,0,17.94,1881248
"2026-05-24T14:03:40.000Z",93016,0,370780,8,0,17.94,1881248
"2026-05-24T14:04:00.000Z",93016,0,370780,8,0,17.94,1881260
"2026-05-24T14:04:20.000Z",93016,0,370780,8,0,17.94,1881260
"2026-05-24T14:04:40.000Z",96824,0,370780,8,0,17.94,1881260
"2026-05-24T14:05:00.000Z",96824,0,370780,8,0,17.94,1881544
"2026-05-24T14:05:20.000Z",96836,0,370780,8,0,17.97,1884188
"2026-05-24T14:05:40.000Z",91492,0,370780,8,0,18.03,1890984
"2026-05-24T14:06:00.000Z",90804,0,370780,8,0,18.06,1893860
"2026-05-24T14:06:20.000Z",90856,0,370780,8,0,18,1887756
"2026-05-24T14:06:40.000Z",93304,0,370780,8,0,18,1888016
