Time,Usage for esxilocal.hbmsolutions.mt,Usage for 0,Usage for 2,Usage for 1,Usage for 3,Usage in MHz for esxilocal.hbmsolutions.mt
2026-05-18T19:48:20.000Z,24.28,22.53,20.41,30.78,23.39,4565
2026-05-18T19:48:40.000Z,24.93,17.75,24.31,26.69,30.97,4687
2026-05-18T19:49:00.000Z,23.87,32.27,20.83,23.23,19.14,4488
2026-05-18T19:49:20.000Z,23.08,26.54,20.78,23.96,21.06,4340
2026-05-18T19:49:40.000Z,27.18,24.58,20.36,24.7,39.1,5111
2026-05-18T19:50:00.000Z,26.9,30.24,17.24,31.24,28.87,5057
2026-05-18T19:50:20.000Z,24.15,18.3,25.76,24.46,28.1,4541
2026-05-18T19:50:40.000Z,21.76,20.19,23.45,14.65,28.74,4091
2026-05-18T19:51:00.000Z,22.21,20.45,16.31,19.67,32.42,4176
2026-05-18T19:51:20.000Z,23.08,32.26,20.36,19.42,20.29,4340
2026-05-18T19:51:40.000Z,18.26,18.39,17.95,16.21,20.51,3434
2026-05-18T19:52:00.000Z,20.62,19.46,18.44,17.75,26.85,3878
2026-05-18T19:52:20.000Z,19.46,20.06,18.33,24.25,15.21,3659
2026-05-18T19:52:40.000Z,19.78,19.2,16.81,18.81,24.32,3720
2026-05-18T19:53:00.000Z,23.92,16.08,23.71,25.78,30.08,4497
2026-05-18T19:53:20.000Z,19.44,13.66,31.49,14.22,18.4,3656
2026-05-18T19:53:40.000Z,24.91,7.3,35.06,20.98,36.3,4683
2026-05-18T19:54:00.000Z,23.08,10.27,27.77,23.43,30.82,4339
2026-05-18T19:54:20.000Z,23.22,20.87,25.35,18.25,28.41,4366
2026-05-18T19:54:40.000Z,18.05,11.79,25.41,13.34,21.65,3393
2026-05-18T19:55:00.000Z,19.28,13.97,21.69,15.74,25.73,3625
2026-05-18T19:55:20.000Z,18.86,15.24,21.39,16.23,22.6,3547
2026-05-18T19:55:40.000Z,14.82,6.31,25.08,6.32,21.57,2786
2026-05-18T19:56:00.000Z,18.84,10.03,31.04,6.04,28.26,3543
2026-05-18T19:56:20.000Z,19.6,5.95,22.53,23.48,26.44,3685
2026-05-18T19:56:40.000Z,22.53,10.1,20.99,37.52,21.5,4235
2026-05-18T19:57:00.000Z,20.69,7.55,29.19,25.18,20.83,3890
2026-05-18T19:57:20.000Z,23.25,13.81,22.74,32.01,24.45,4372
2026-05-18T19:57:40.000Z,20.78,10.42,28.17,13.96,30.58,3907
2026-05-18T19:58:00.000Z,17.11,6.31,23.12,17.56,21.44,3217
2026-05-18T19:58:20.000Z,21.41,17.89,26.5,15.11,26.15,4026
2026-05-18T19:58:40.000Z,22.99,22.21,25.1,18.83,25.81,4322
2026-05-18T19:59:00.000Z,24.69,28.98,22.7,24.55,22.54,4643
2026-05-18T19:59:20.000Z,25.88,17.21,31.17,19.93,35.23,4867
2026-05-18T19:59:40.000Z,18.79,17.02,19.36,20.74,18.04,3533
2026-05-18T20:00:00.000Z,18.32,9.97,24.65,17.54,21.1,3444
2026-05-18T20:00:20.000Z,24.3,27.52,28.42,17.08,24.17,4568
2026-05-18T20:00:40.000Z,44.17,32.18,45.01,37.97,61.54,8305
2026-05-18T20:01:00.000Z,32.95,34.42,31.98,33.95,31.44,6195
2026-05-18T20:01:20.000Z,34.8,33.17,31.67,34.84,39.54,6544
2026-05-18T20:01:40.000Z,27.56,23.38,24.79,32.78,29.29,5181
2026-05-18T20:02:00.000Z,22.96,12.99,29.76,19.18,29.89,4316
2026-05-18T20:02:20.000Z,21.48,19.33,23.57,16.66,26.35,4038
2026-05-18T20:02:40.000Z,21.34,27.26,23.92,15.2,18.98,4012
