"Time","Host consumed % for esxidr.hbmsolutions.mt"
"2026-05-23T03:50:00.000Z",17.91
"2026-05-23T03:55:00.000Z",17.9
"2026-05-23T04:00:00.000Z",17.88
"2026-05-23T04:05:00.000Z",17.88
"2026-05-23T04:10:00.000Z",17.89
"2026-05-23T04:15:00.000Z",17.86
"2026-05-23T04:20:00.000Z",17.86
"2026-05-23T04:25:00.000Z",18.29
"2026-05-23T04:30:00.000Z",18.73
"2026-05-23T04:35:00.000Z",18.73
"2026-05-23T04:40:00.000Z",18.31
"2026-05-23T04:45:00.000Z",17.92
"2026-05-23T04:50:00.000Z",17.96
"2026-05-23T04:55:00.000Z",17.97
"2026-05-23T05:00:00.000Z",17.92
"2026-05-23T05:05:00.000Z",17.86
"2026-05-23T05:10:00.000Z",17.9
"2026-05-23T05:15:00.000Z",17.89
"2026-05-23T05:20:00.000Z",17.86
"2026-05-23T05:25:00.000Z",18.35
"2026-05-23T05:30:00.000Z",18.8
"2026-05-23T05:35:00.000Z",18.73
"2026-05-23T05:40:00.000Z",18.34
"2026-05-23T05:45:00.000Z",17.93
"2026-05-23T05:50:00.000Z",17.92
"2026-05-23T05:55:00.000Z",17.9
"2026-05-23T06:00:00.000Z",17.9
"2026-05-23T06:05:00.000Z",17.87
"2026-05-23T06:10:00.000Z",17.91
"2026-05-23T06:15:00.000Z",17.9
"2026-05-23T06:20:00.000Z",17.9
"2026-05-23T06:25:00.000Z",18.28
"2026-05-23T06:30:00.000Z",18.75
"2026-05-23T06:35:00.000Z",18.72
"2026-05-23T06:40:00.000Z",18.41
"2026-05-23T06:45:00.000Z",17.93
"2026-05-23T06:50:00.000Z",17.9
"2026-05-23T06:55:00.000Z",17.88
"2026-05-23T07:00:00.000Z",17.89
"2026-05-23T07:05:00.000Z",17.89
"2026-05-23T07:10:00.000Z",17.91
"2026-05-23T07:15:00.000Z",17.9
"2026-05-23T07:20:00.000Z",17.9
"2026-05-23T07:25:00.000Z",18.3
"2026-05-23T07:30:00.000Z",18.8
"2026-05-23T07:35:00.000Z",18.74
"2026-05-23T07:40:00.000Z",18.39
"2026-05-23T07:45:00.000Z",17.92
"2026-05-23T07:50:00.000Z",17.91
"2026-05-23T07:55:00.000Z",17.91
"2026-05-23T08:00:00.000Z",17.88
"2026-05-23T08:05:00.000Z",17.89
"2026-05-23T08:10:00.000Z",17.91
"2026-05-23T08:15:00.000Z",17.9
"2026-05-23T08:20:00.000Z",17.89
"2026-05-23T08:25:00.000Z",18.3
"2026-05-23T08:30:00.000Z",18.82
"2026-05-23T08:35:00.000Z",18.8
"2026-05-23T08:40:00.000Z",18.43
"2026-05-23T08:45:00.000Z",17.96
"2026-05-23T08:50:00.000Z",17.97
"2026-05-23T08:55:00.000Z",17.96
"2026-05-23T09:00:00.000Z",17.96
"2026-05-23T09:05:00.000Z",17.99
"2026-05-23T09:10:00.000Z",17.97
"2026-05-23T09:15:00.000Z",17.91
"2026-05-23T09:20:00.000Z",17.88
"2026-05-23T09:25:00.000Z",38.7
"2026-05-23T09:30:00.000Z",38.57
"2026-05-23T09:35:00.000Z",18.82
"2026-05-23T09:40:00.000Z",18.5
"2026-05-23T09:45:00.000Z",18
"2026-05-23T09:50:00.000Z",18
"2026-05-23T09:55:00.000Z",17.98
"2026-05-23T10:00:00.000Z",17.98
"2026-05-23T10:05:00.000Z",17.99
"2026-05-23T10:10:00.000Z",18.02
"2026-05-23T10:15:00.000Z",18.02
"2026-05-23T10:20:00.000Z",17.99
"2026-05-23T10:25:00.000Z",18.31
"2026-05-23T10:30:00.000Z",18.91
"2026-05-23T10:35:00.000Z",18.84
"2026-05-23T10:40:00.000Z",18.57
"2026-05-23T10:45:00.000Z",17.99
"2026-05-23T10:50:00.000Z",17.98
"2026-05-23T10:55:00.000Z",17.99
"2026-05-23T11:00:00.000Z",17.99
"2026-05-23T11:05:00.000Z",18
"2026-05-23T11:10:00.000Z",18.03
"2026-05-23T11:15:00.000Z",18
"2026-05-23T11:20:00.000Z",17.98
"2026-05-23T11:25:00.000Z",18.34
"2026-05-23T11:30:00.000Z",18.85
"2026-05-23T11:35:00.000Z",18.8
"2026-05-23T11:40:00.000Z",18.52
"2026-05-23T11:45:00.000Z",18.05
"2026-05-23T11:50:00.000Z",18.06
"2026-05-23T11:55:00.000Z",18.06
"2026-05-23T12:00:00.000Z",18.03
"2026-05-23T12:05:00.000Z",18.01
"2026-05-23T12:10:00.000Z",18.04
"2026-05-23T12:15:00.000Z",17.96
"2026-05-23T12:20:00.000Z",17.97
"2026-05-23T12:25:00.000Z",18.24
"2026-05-23T12:30:00.000Z",18.8
"2026-05-23T12:35:00.000Z",18.75
"2026-05-23T12:40:00.000Z",18.54
"2026-05-23T12:45:00.000Z",18.07
"2026-05-23T12:50:00.000Z",18.16
"2026-05-23T12:55:00.000Z",17.97
"2026-05-23T13:00:00.000Z",17.89
"2026-05-23T13:05:00.000Z",17.93
"2026-05-23T13:10:00.000Z",17.89
"2026-05-23T13:15:00.000Z",17.9
"2026-05-23T13:20:00.000Z",17.86
"2026-05-23T13:25:00.000Z",18.08
"2026-05-23T13:30:00.000Z",18.69
"2026-05-23T13:35:00.000Z",18.64
"2026-05-23T13:40:00.000Z",18.43
"2026-05-23T13:45:00.000Z",17.89
"2026-05-23T13:50:00.000Z",17.84
"2026-05-23T13:55:00.000Z",17.81
"2026-05-23T14:00:00.000Z",17.81
"2026-05-23T14:05:00.000Z",17.85
"2026-05-23T14:10:00.000Z",17.84
"2026-05-23T14:15:00.000Z",17.82
