"Time","Active for esxilocal.hbmsolutions.mt","Swap consumed for esxilocal.hbmsolutions.mt","Granted for esxilocal.hbmsolutions.mt","Shared common for esxilocal.hbmsolutions.mt","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-24T13:39:40.000Z",3542928,2514160,8365400,41864,0,92.72,9721712
"2026-05-24T13:40:00.000Z",3542928,2513732,8366212,41880,0,92.72,9721668
"2026-05-24T13:40:20.000Z",3541960,2512476,8367988,41860,0,92.73,9723256
"2026-05-24T13:40:40.000Z",3699400,2594704,8371120,42284,0,92.44,9692648
"2026-05-24T13:41:00.000Z",3699492,2594344,8371720,42672,0,92.44,9692712
"2026-05-24T13:41:20.000Z",3698720,2593932,8372612,42632,0,92.4,9688868
"2026-05-24T13:41:40.000Z",3630956,2593364,8290972,42368,0,91.64,9608844
"2026-05-24T13:42:00.000Z",3632120,2592616,8292504,42444,0,91.67,9611636
"2026-05-24T13:42:20.000Z",3633972,2591736,8294404,42276,0,91.66,9611256
"2026-05-24T13:42:40.000Z",3436276,2591408,8294916,42096,0,91.68,9613352
"2026-05-24T13:43:00.000Z",3436332,2590552,8295912,42412,0,91.7,9614932
"2026-05-24T13:43:20.000Z",3405460,2587376,8299340,42164,0,91.73,9618128
"2026-05-24T13:43:40.000Z",3845860,2661076,8315844,42276,0,91.57,9601288
"2026-05-24T13:44:00.000Z",3856344,2658792,8318860,42208,0,91.59,9603612
"2026-05-24T13:44:20.000Z",3907268,2653892,8324144,41868,0,91.65,9609364
"2026-05-24T13:44:40.000Z",3708040,2653172,8325060,41876,0,91.65,9609572
"2026-05-24T13:45:00.000Z",3708040,2652920,8325384,41916,0,91.65,9610232
"2026-05-24T13:45:20.000Z",3776548,2652368,8326060,41672,0,91.68,9612392
"2026-05-24T13:45:40.000Z",3713112,2651480,8327280,41812,0,91.67,9612024
"2026-05-24T13:46:00.000Z",3713656,2649164,8329836,41948,0,91.69,9614484
"2026-05-24T13:46:20.000Z",3612324,2647216,8331836,41772,0,91.68,9612600
"2026-05-24T13:46:40.000Z",3623476,2638172,8341252,42064,0,91.77,9622804
"2026-05-24T13:47:00.000Z",3624208,2637400,8342164,41900,0,91.78,9623716
"2026-05-24T13:47:20.000Z",3666780,2636032,8343724,41604,0,91.8,9625208
"2026-05-24T13:47:40.000Z",3593380,2619760,8362356,41520,0,91.95,9640872
"2026-05-24T13:48:00.000Z",3593380,2619216,8362944,41484,0,91.96,9642432
"2026-05-24T13:48:20.000Z",3727896,2618564,8363748,41404,0,91.97,9643340
"2026-05-24T13:48:40.000Z",3885184,2617800,8364580,41424,0,91.98,9644836
"2026-05-24T13:49:00.000Z",3885192,2615556,8366984,41364,0,92.01,9647676
"2026-05-24T13:49:20.000Z",3799496,2612776,8369812,41296,0,92.03,9649252
"2026-05-24T13:49:40.000Z",3841436,2612052,8370580,41388,0,92.03,9649632
"2026-05-24T13:50:00.000Z",3841436,2611460,8371456,41616,0,92.03,9649900
"2026-05-24T13:50:20.000Z",3819400,2601776,8381292,41684,0,92.15,9662180
"2026-05-24T13:50:40.000Z",3588948,2601092,8382020,42080,0,92.17,9663964
"2026-05-24T13:51:00.000Z",3588392,2599796,8383468,42144,0,92.18,9664928
"2026-05-24T13:51:20.000Z",3593168,2596844,8389164,41736,0,92.19,9666124
"2026-05-24T13:51:40.000Z",3876772,2596328,8389784,41864,0,92.19,9666340
"2026-05-24T13:52:00.000Z",3877484,2595860,8390300,42416,0,92.18,9664992
"2026-05-24T13:52:20.000Z",3852712,2595448,8390760,42172,0,92.19,9665908
"2026-05-24T13:52:40.000Z",3528184,2595032,8391252,42376,0,92.18,9665204
"2026-05-24T13:53:00.000Z",3528752,2594180,8392800,42792,0,92.19,9666260
"2026-05-24T13:53:20.000Z",3569356,2593424,8393636,42300,0,92.19,9666892
"2026-05-24T13:53:40.000Z",4072764,2593136,8393944,42540,0,92.21,9668192
"2026-05-24T13:54:00.000Z",4073588,2592900,8394212,42588,0,92.2,9667692
"2026-05-24T13:54:20.000Z",4019132,2592468,8394716,42672,0,92.22,9669268
"2026-05-24T13:54:40.000Z",3945732,2591164,8396060,41636,0,92.24,9671488
"2026-05-24T13:55:00.000Z",3442416,2586596,8401568,41532,0,92.3,9677736
"2026-05-24T13:55:20.000Z",3429924,2585588,8402628,41860,0,92.31,9678656
"2026-05-24T13:55:40.000Z",3450916,2585196,8403040,41896,0,92.31,9678472
"2026-05-24T13:56:00.000Z",3828264,2584960,8403308,42036,0,92.28,9676012
"2026-05-24T13:56:20.000Z",3823712,2584384,8404084,42072,0,92.34,9682136
