"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-22T07:24:00.000Z",115328,0,456492,8,0,18.89,1981056
"2026-05-22T07:24:20.000Z",116140,0,456492,8,0,18.87,1979204
"2026-05-22T07:24:40.000Z",116140,0,456492,8,0,18.87,1979108
"2026-05-22T07:25:00.000Z",116220,0,456492,8,0,18.88,1979708
"2026-05-22T07:25:20.000Z",114552,0,456500,8,0,18.88,1980312
"2026-05-22T07:25:40.000Z",114220,0,456500,8,0,18.91,1983336
"2026-05-22T07:26:00.000Z",113444,0,456500,8,0,18.93,1985684
"2026-05-22T07:26:20.000Z",116856,0,456500,8,0,18.86,1978116
"2026-05-22T07:26:40.000Z",117320,0,456508,8,0,18.87,1979172
"2026-05-22T07:27:00.000Z",117280,0,456520,8,0,18.96,1988040
"2026-05-22T07:27:20.000Z",114764,0,456544,8,0,18.88,1980220
"2026-05-22T07:27:40.000Z",114776,0,456564,8,0,18.88,1980368
"2026-05-22T07:28:00.000Z",114780,0,456580,8,0,18.89,1980592
"2026-05-22T07:28:20.000Z",115056,0,456584,8,0,18.88,1980048
"2026-05-22T07:28:40.000Z",115056,0,456584,8,0,18.89,1981256
"2026-05-22T07:29:00.000Z",115104,0,456584,8,0,18.88,1980056
"2026-05-22T07:29:20.000Z",115952,0,456584,8,0,18.88,1980056
"2026-05-22T07:29:40.000Z",116272,0,456584,8,0,18.88,1980248
"2026-05-22T07:30:00.000Z",116396,0,456580,8,0,18.89,1980604
"2026-05-22T07:30:20.000Z",113908,0,456584,8,0,18.86,1977548
"2026-05-22T07:30:40.000Z",115428,0,456584,8,0,18.86,1977984
"2026-05-22T07:31:00.000Z",115556,0,456584,8,0,18.91,1983680
"2026-05-22T07:31:20.000Z",113804,0,456584,8,0,18.86,1978216
"2026-05-22T07:31:40.000Z",114124,0,456584,8,0,18.86,1977812
"2026-05-22T07:32:00.000Z",114924,0,456584,8,0,18.9,1982548
"2026-05-22T07:32:20.000Z",112900,0,456584,8,0,18.86,1978300
"2026-05-22T07:32:40.000Z",113852,0,456584,8,0,18.88,1979944
"2026-05-22T07:33:00.000Z",113852,0,456584,8,0,18.88,1979952
"2026-05-22T07:33:20.000Z",114436,0,456584,8,0,18.88,1980324
"2026-05-22T07:33:40.000Z",115784,0,456584,8,0,18.88,1979988
"2026-05-22T07:34:00.000Z",115784,0,456584,8,0,18.89,1981020
"2026-05-22T07:34:20.000Z",115764,0,456584,8,0,18.88,1980508
"2026-05-22T07:34:40.000Z",113788,0,456584,8,0,18.87,1979364
"2026-05-22T07:35:00.000Z",113800,0,456584,8,0,18.88,1980108
"2026-05-22T07:35:20.000Z",95308,0,373936,8,0,18.03,1891088
"2026-05-22T07:35:40.000Z",98132,0,373936,8,0,18.01,1889220
"2026-05-22T07:36:00.000Z",98244,0,373936,8,0,18.1,1898568
"2026-05-22T07:36:20.000Z",98676,0,373936,8,0,18.03,1891348
"2026-05-22T07:36:40.000Z",102756,0,373936,8,0,18.03,1890848
"2026-05-22T07:37:00.000Z",102772,0,373936,8,0,18.07,1895196
"2026-05-22T07:37:20.000Z",102772,0,373936,8,0,18.02,1890348
"2026-05-22T07:37:40.000Z",101124,0,373936,8,0,18.02,1890348
"2026-05-22T07:38:00.000Z",100804,0,373936,8,0,18.08,1895748
"2026-05-22T07:38:20.000Z",100804,0,373936,8,0,18.03,1890428
"2026-05-22T07:38:40.000Z",94264,0,373936,8,0,18.03,1890432
"2026-05-22T07:39:00.000Z",93876,0,373936,8,0,18.03,1890436
"2026-05-22T07:39:20.000Z",93876,0,373936,8,0,18.04,1891992
"2026-05-22T07:39:40.000Z",95600,0,373936,8,0,18.03,1890608
"2026-05-22T07:40:00.000Z",95612,0,373936,8,0,18.03,1891112
"2026-05-22T07:40:20.000Z",93976,0,373936,8,0,18.01,1889184
"2026-05-22T07:40:40.000Z",98556,0,373936,8,0,18.05,1892560
"2026-05-22T07:41:00.000Z",97964,0,373936,8,0,18.08,1896028
"2026-05-22T07:41:20.000Z",97956,0,373936,8,0,18,1887740
"2026-05-22T07:41:40.000Z",102308,0,373936,8,0,18.02,1890020
"2026-05-22T07:42:00.000Z",102336,0,373936,8,0,18.07,1895068
"2026-05-22T07:42:20.000Z",102336,0,373936,8,0,18.02,1890220
"2026-05-22T07:42:40.000Z",98464,0,373936,8,0,18.03,1890716
"2026-05-22T07:43:00.000Z",98464,0,373936,8,0,18.04,1892252
"2026-05-22T07:43:20.000Z",98464,0,373936,8,0,18.03,1890736
"2026-05-22T07:43:40.000Z",95792,0,373936,8,0,18.03,1890744
"2026-05-22T07:44:00.000Z",95792,0,373936,8,0,18.03,1890748
"2026-05-22T07:44:20.000Z",95792,0,373936,8,0,18.03,1890748
"2026-05-22T07:44:40.000Z",93244,0,373936,8,0,18.03,1890824
"2026-05-22T07:45:00.000Z",93256,0,373936,8,0,18.03,1891116
"2026-05-22T07:45:20.000Z",92496,0,373936,8,0,18.03,1890908
"2026-05-22T07:45:40.000Z",100284,0,373936,8,0,18.04,1892224
"2026-05-22T07:46:00.000Z",100512,0,373936,8,0,18.11,1898916
"2026-05-22T07:46:20.000Z",99192,0,373936,8,0,18.01,1888892
"2026-05-22T07:46:40.000Z",99744,0,373936,8,0,18.05,1892964
"2026-05-22T07:47:00.000Z",96044,0,373936,8,0,18.03,1890492
"2026-05-22T07:47:20.000Z",98764,0,373936,8,0,17.99,1886860
"2026-05-22T07:47:40.000Z",96252,0,373936,8,0,17.99,1886816
"2026-05-22T07:48:00.000Z",98836,0,373936,8,0,17.99,1887004
"2026-05-22T07:48:20.000Z",98308,0,373936,8,0,17.99,1886684
"2026-05-22T07:48:40.000Z",98328,0,373936,8,0,17.99,1887168
"2026-05-22T07:49:00.000Z",95328,0,373936,8,0,17.99,1886680
"2026-05-22T07:49:20.000Z",95660,0,373936,8,0,18,1887516
"2026-05-22T07:49:40.000Z",95700,0,373936,8,0,17.99,1886636
"2026-05-22T07:50:00.000Z",99684,0,373936,8,0,17.99,1886952
"2026-05-22T07:50:20.000Z",98952,0,373936,8,0,17.99,1886860
"2026-05-22T07:50:40.000Z",100288,0,373936,8,0,18.01,1888364
"2026-05-22T07:51:00.000Z",99032,0,373936,8,0,18.06,1894000
"2026-05-22T07:51:20.000Z",99092,0,373936,8,0,18,1888216
"2026-05-22T07:51:40.000Z",99092,0,373936,8,0,18,1888224
"2026-05-22T07:52:00.000Z",97852,0,373936,8,0,18.09,1896876
"2026-05-22T07:52:20.000Z",97552,0,373936,8,0,18,1888204
"2026-05-22T07:52:40.000Z",96680,0,373936,8,0,18,1887580
"2026-05-22T07:53:00.000Z",93832,0,373936,8,0,17.99,1886648
"2026-05-22T07:53:20.000Z",92920,0,373936,8,0,17.99,1886676
"2026-05-22T07:53:40.000Z",93456,0,373936,8,0,18.02,1890348
"2026-05-22T07:54:00.000Z",98120,0,373936,8,0,17.99,1886720
"2026-05-22T07:54:20.000Z",97732,0,373936,8,0,18.02,1890004
"2026-05-22T07:54:40.000Z",98156,0,373936,8,0,17.99,1886820
"2026-05-22T07:55:00.000Z",95852,0,373936,8,0,17.99,1887064
"2026-05-22T07:55:20.000Z",93980,0,373936,8,0,18.04,1891848
"2026-05-22T07:55:40.000Z",95668,0,373936,8,0,18.03,1891204
"2026-05-22T07:56:00.000Z",99228,0,373936,8,0,18.04,1892004
"2026-05-22T07:56:20.000Z",97868,0,373936,8,0,18,1887512
"2026-05-22T07:56:40.000Z",99032,0,373936,8,0,18,1887592
"2026-05-22T07:57:00.000Z",94144,0,373936,8,0,18.06,1893756
"2026-05-22T07:57:20.000Z",93200,0,373936,8,0,18.04,1892476
"2026-05-22T07:57:40.000Z",93332,0,373936,8,0,18.05,1893004
"2026-05-22T07:58:00.000Z",97224,0,371872,8,0,17.96,1884044
"2026-05-22T07:58:20.000Z",96840,0,371872,8,0,17.97,1884400
"2026-05-22T07:58:40.000Z",97812,0,371872,8,0,17.97,1885076
